time,open,high,low,close
2016-12-28,226.57,226.59,224.27,224.4
2016-12-29,224.48,224.89,223.84,224.35
2016-12-30,224.73,224.83,222.73,223.53
2017-01-03,225.04,225.83,223.8837,225.24
2017-01-04,225.62,226.75,225.61,226.58
2017-01-05,226.27,226.58,225.48,226.4
2017-01-06,226.53,227.75,225.9,227.21
2017-01-09,226.91,227.0701,226.4163,226.46
2017-01-10,226.48,227.45,226.01,226.46
2017-01-11,226.36,227.1,225.59,227.1
2017-01-12,226.5,226.75,224.955,226.53
2017-01-13,226.73,227.4,226.69,227.05
2017-01-17,226.31,226.78,225.8,226.25
2017-01-18,226.535,226.8,225.9,226.75
2017-01-19,226.84,227,225.41,225.91
2017-01-20,226.7,227.31,225.9719,226.74
2017-01-23,226.35,226.805,225.27,226.15
2017-01-24,226.4,228.08,226.27,227.6
2017-01-25,228.7,229.57,228.51,229.57
2017-01-26,229.4,229.71,229.01,229.33
2017-01-27,229.42,229.59,228.76,228.97
2017-01-30,228.17,228.2,226.41,227.55
2017-01-31,226.98,227.6,226.32,227.53
2017-02-01,228.255,228.59,226.94,227.62
2017-02-02,227.2,228.1,226.82,227.77
2017-02-03,228.82,229.55,228.46,229.34
2017-02-06,228.87,229.326,228.54,228.93
2017-02-07,229.38,229.6556,228.72,228.94
2017-02-08,228.61,229.39,228.31,229.24
2017-02-09,229.56,230.95,229.52,230.6
2017-02-10,231,231.77,230.6216,231.51
2017-02-13,232.08,233.07,232.05,232.77
2017-02-14,232.56,233.71,232.16,233.7
2017-02-15,233.45,235.14,233.39,234.92
2017-02-16,234.96,235.155,233.85,234.72
2017-02-17,233.95,235.09,233.93,235.09
2017-02-21,235.52,236.69,235.51,236.49
2017-02-22,236.02,236.54,235.83,236.28
2017-02-23,236.88,236.9,235.56,236.44
2017-02-24,235.46,236.7932,235.41,236.74
2017-02-27,236.64,237.31,236.35,237.11
2017-02-28,236.67,236.95,236.015,236.47
2017-03-01,238.39,240.32,238.37,239.78
2017-03-02,239.56,239.57,238.21,238.27
2017-03-03,238.17,238.61,237.73,238.42
2017-03-06,237.5,238.12,237.01,237.71
2017-03-07,237.36,237.77,236.76,237
2017-03-08,237.34,237.64,236.4,236.56
2017-03-09,236.7,237.24,235.74,236.86
2017-03-10,237.97,238.02,236.59,237.69
2017-03-13,237.62,237.86,237.24,237.81
2017-03-14,237.18,237.24,236.19,236.9
2017-03-15,237.56,239.44,237.29,238.95
2017-03-16,239.11,239.2,238.1,238.48
2017-03-17,237.75,237.97,237.03,237.03
2017-03-20,237.03,237.36,236.32,236.77
2017-03-21,237.47,237.61,233.58,233.73
2017-03-22,233.77,234.61,233.05,234.28
2017-03-23,234,235.34,233.6,234.03
2017-03-24,234.38,235.04,232.96,233.86
2017-03-27,231.93,233.92,231.61,233.62
2017-03-28,233.27,235.81,233.14,235.32
2017-03-29,234.99,235.81,234.725,235.54
2017-03-30,235.47,236.52,235.27,236.29
2017-03-31,235.9,236.51,235.68,235.74
2017-04-03,235.8,236.03,233.91,235.33
2017-04-04,235,235.58,234.555,235.48
2017-04-05,236.26,237.39,234.54,234.78
2017-04-06,234.94,236.04,234.425,235.44
2017-04-07,235.15,236,234.64,235.2
2017-04-10,235.36,236.255,234.73,235.34
2017-04-11,234.9,235.18,233.34,235.06
2017-04-12,234.74,234.96,233.77,234.03
2017-04-13,233.64,234.49,232.51,232.51
2017-04-17,233.11,234.57,232.88,234.57
2017-04-18,233.72,234.49,233.08,233.87
2017-04-19,234.52,234.95,233.18,233.44
2017-04-20,234.15,235.845,233.78,235.34
2017-04-21,235.25,235.31,234.13,234.59
2017-04-24,237.18,237.41,236.61,237.17
2017-04-25,237.91,238.95,237.81,238.55
2017-04-26,238.51,239.53,238.35,238.4
2017-04-27,238.77,238.95,237.98,238.6
2017-04-28,238.9,238.93,237.93,238.08
2017-05-01,238.68,239.17,238.195,238.68
2017-05-02,238.84,238.98,238.3,238.77
2017-05-03,238.29,238.8775,237.7,238.48
2017-05-04,238.83,238.9225,237.78,238.76
2017-05-05,239.19,239.72,238.68,239.7
2017-05-08,239.75,239.92,239.17,239.66
2017-05-09,239.96,240.19,239.04,239.44
2017-05-10,239.39,239.87,239.15,239.87
2017-05-11,239.35,239.57,238.13,239.38
2017-05-12,239.09,239.4273,238.67,238.98
2017-05-15,239.47,240.44,239.45,240.3
2017-05-16,240.64,240.67,239.63,240.08
2017-05-17,238.1,238.64,235.75,235.82
2017-05-18,235.73,237.75,235.43,236.77
2017-05-19,237.33,239.08,237.27,238.31
2017-05-22,238.9,239.71,238.82,239.52
2017-05-23,239.95,240.24,239.51,240.05
2017-05-24,240.32,240.73,239.93,240.61
2017-05-25,241.2,242.08,240.96,241.76
2017-05-26,241.54,241.9,241.45,241.71
2017-05-30,241.34,241.79,241.16,241.5
2017-05-31,241.84,241.88,240.64,241.44
2017-06-01,241.97,243.38,241.64,243.36
2017-06-02,243.42,244.35,243.08,244.17
2017-06-05,243.97,244.3,243.76,243.99
2017-06-06,243.34,243.98,243.12,243.21
2017-06-07,243.6,243.92,242.83,243.66
2017-06-08,243.77,244.33,243.17,243.78
2017-06-09,244.09,245.01,241.95,243.41
2017-06-12,243.13,243.42,242.38,243.36
2017-06-13,243.98,244.61,243.5799,244.55
2017-06-14,244.86,244.87,243.29,244.24
2017-06-15,242.68,243.91,242.36,243.77
2017-06-16,242.77,242.83,241.6337,242.64
2017-06-19,243.59,244.73,243.48,244.66
2017-06-20,244.25,244.26,242.99,243.01
2017-06-21,243.42,243.59,242.41,242.95
2017-06-22,242.96,243.53,242.64,242.84
2017-06-23,242.91,243.51,242.47,243.13
2017-06-26,243.9,244.38,243.045,243.29
2017-06-27,243.04,243.38,241.31,241.33
2017-06-28,242.5,243.715,242.23,243.49
2017-06-29,243.66,243.72,239.955,241.35
2017-06-30,242.28,242.71,241.575,241.8
2017-07-03,242.88,243.38,242.21,242.21
2017-07-05,242.63,243.01,241.7,242.77
2017-07-06,241.89,242.03,240.34,240.55
2017-07-07,241.21,242.28,240.5645,242.11
2017-07-10,241.95,242.8,241.76,242.37
2017-07-11,242.16,242.55,240.85,242.19
2017-07-12,243.3,244.2,243.3,244.01
2017-07-13,244.02,244.55,243.76,244.42
2017-07-14,244.43,245.97,244.31,245.56
2017-07-17,245.47,245.91,245.33,245.53
2017-07-18,245.06,245.72,244.67,245.66
2017-07-19,246.02,247,246.01,246.99
2017-07-20,247.28,247.42,246.47,247.1
2017-07-21,246.44,246.91,246.18,246.88
2017-07-24,246.79,246.98,246.28,246.82
2017-07-25,247.68,247.8,247.16,247.42
2017-07-26,247.75,247.79,247.13,247.43
2017-07-27,247.96,248,245.68,247.2
2017-07-28,246.65,247.06,246.13,246.91
2017-07-31,247.37,247.48,246.53,246.77
2017-08-01,247.46,247.5,246.716,247.32
2017-08-02,247.47,247.6,246.37,247.44
2017-08-03,247.31,247.34,246.64,246.96
2017-08-04,247.52,247.79,246.97,247.41
2017-08-07,247.49,247.87,247.37,247.87
2017-08-08,247.51,248.91,246.83,247.26
2017-08-09,246.47,247.31,246.06,247.25
2017-08-10,246.29,246.44,243.7,243.76
2017-08-11,244.02,244.8,243.75,244.12
2017-08-14,245.59,246.79,245.55,246.54
2017-08-15,246.98,247,246.16,246.51
2017-08-16,247.11,247.57,246.45,246.94
