label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.02236729,0.23271690,0.02196296,0.23272072,78910.59546332,44000.00000000,34910.59546332,0.79342262,0.16369910,0.16846899,0.85127870,0.20340074,1.18783286,0.85849067,-0.19068245,167,2023,0.34071490,2022,-0.07342515,767008.63657228,254.26420701,1.71137162,0.00577873,0.46595963,0.14872668,0.15499215,0.04898819,,,,,0.37788717,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.03285838,0.27327473,0.03246260,0.27327789,74982.88913348,44000.00000000,30982.88913348,0.70415657,0.15951562,0.15358003,0.81021316,0.21124663,1.13393127,0.65333390,-0.24415635,691,2023,0.31900476,2020,0.01925133,901624.27826684,298.62590162,1.99080942,0.00678695,0.48409054,0.14872668,0.16104557,0.04898819,,,,,0.35378403,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.02236651,0.23271690,0.02196205,0.23272072,78911.46434901,44000.00000000,34911.46434901,0.79344237,0.16370187,0.16847221,0.85129310,0.20339990,1.18785335,0.85850518,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.71127690,0.00577823,0.46595248,0.14872668,0.15499753,0.04898819,,,,,0.37788537,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.02235915,0.23271690,0.02196178,0.23272072,78911.15881064,44000.00000000,34911.15881064,0.79343543,0.16370099,0.16847108,0.85128930,0.20339993,1.18784785,0.85850057,-0.19068245,167,2023,0.34071490,2022,-0.07342515,767046.13662717,254.28674714,1.71144532,0.00577924,0.46596331,0.14872668,0.15499765,0.04898819,,,,,0.37788571,0.04055717
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,,0.00119998,0.00374295,0.00067386,0.00173516,84465.56176683,44000.00000000,40465.56176683,0.91967186,0.18500857,0.18838025,0.91231274,0.21167266,1.27696932,0.81904639,-0.22588289,448,2023,0.49705097,2022,-0.13039694,818437.67640098,307.04040505,1.77176446,0.00697819,0.29985508,0.09988652,,,0.29968791,0.09942933,,,0.39920372,0.13875850
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,QQQ<SMA200,0.02272430,0.23306855,0.02231692,0.23307415,84098.33748467,44000.00000000,40098.33748467,0.91132585,0.18603998,0.18710235,0.92353969,0.20957598,1.28570168,0.89029234,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70884412,0.00678815,0.31076659,0.09980015,,,0.31061452,0.09942933,,,0.37748399,0.04020374
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,VIX/VIX3M@1>=1.00,0.00283985,0.06209356,0.00233019,0.06210058,84375.85777414,44000.00000000,40375.85777414,0.91763313,0.18449975,0.18806857,0.91604787,0.20994233,1.28107142,0.88237181,-0.20909524,439,2023,0.49690164,2022,-0.13298500,808264.00886381,303.66380310,1.75194959,0.00690145,0.30071590,0.09986185,,,0.30051246,0.09942933,,,0.39753140,0.13831950
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.02272430,0.23306855,0.02231692,0.23307415,84098.33748467,44000.00000000,40098.33748467,0.91132585,0.18603998,0.18710235,0.92353969,0.20957598,1.28570168,0.89029234,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70884412,0.00678815,0.31076659,0.09980015,,,0.31061452,0.09942933,,,0.37748399,0.04020374
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.03287188,0.27327241,0.03247313,0.27327789,80020.19320414,44000.00000000,36020.19320414,0.81864075,0.18181593,0.17254901,0.89101844,0.21433687,1.24079192,0.70306564,-0.25860450,667,2023,0.35331784,2020,0.02851468,927863.76758527,350.21463275,1.98267565,0.00795942,0.32263595,0.09976988,,,0.32248888,0.09942933,,,0.35375476,0.00000000
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.02272430,0.23306855,0.02231692,0.23307415,84098.33748467,44000.00000000,40098.33748467,0.91132585,0.18603998,0.18710235,0.92353969,0.20957598,1.28570168,0.89029234,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70884412,0.00678815,0.31076659,0.09980015,,,0.31061452,0.09942933,,,0.37748399,0.04020374
