label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,2w,0.04225961,0.35482872,0.04177036,0.35483013,73044.89456301,44000.00000000,29044.89456301,0.66011124,0.14490332,0.14596059,0.83488100,0.18302010,1.17855423,0.83878918,-0.17275297,167,2023,0.31911375,2022,-0.06675464,1089121.24216337,411.96281031,2.46311457,0.00936279,0.47955777,0.14934047,,,0.15929195,0.04809237,,,0.35972513,0.04403199
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,2w+1,0.04371543,0.35692520,0.04314201,0.35203756,66003.36608854,44000.00000000,22003.36608854,0.50007650,0.12492493,0.11656269,0.73592665,0.18384505,1.00970942,0.57550514,-0.21707006,,2024,0.32432194,2022,-0.03680538,1194390.51591207,451.01730859,2.73175139,0.01025039,0.48077370,0.14638768,,,0.15991743,0.04803506,,,0.35783326,0.04134256
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,,0.02225794,0.23271777,0.02193891,0.23272372,78273.52490042,44000.00000000,34273.52490042,0.77894375,0.16309589,0.16610206,0.85688429,0.20085588,1.19472245,0.85557947,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70692879,0.00655440,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,2m,0.08608944,0.51034695,0.08531272,0.50725906,78893.28960776,44000.00000000,34893.28960776,0.79302931,0.16842931,0.16840493,0.86989685,0.20381588,1.22214775,0.76482109,-0.22022054,474,2021,0.34531386,2022,-0.11158185,363406.25981627,139.41562416,0.81068249,0.00316854,0.46300196,0.14979190,,,0.15420874,0.04996647,,,0.38107493,0.05492469
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,2m+1,0.07811131,0.42898434,0.07757057,0.42795596,76031.39993439,44000.00000000,32031.39993439,0.72798636,0.16049938,0.15762524,0.81983120,0.20931242,1.14663104,0.78085972,-0.20554189,,2023,0.35532109,2026,-0.06156657,505545.13740117,191.93921873,1.07814657,0.00436225,0.45549750,0.12849527,,,0.15231084,0.04573795,,,0.39054646,0.04063147
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 3m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,3m,0.10933600,0.51356202,0.10810449,0.50844987,71965.00215539,44000.00000000,27965.00215539,0.63556823,0.14078418,0.14163155,0.66923144,0.24160508,0.92962631,0.55463944,-0.25383009,160,2024,0.39208640,2022,-0.14328410,290852.87078870,111.96912853,0.66192985,0.00254475,0.42360281,0.12857858,,,0.14270182,0.04561860,,,0.43156854,0.06931782
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 3m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,3m+1,0.09627576,0.34260977,0.09544327,0.34261114,75612.49057984,44000.00000000,31612.49057984,0.71846569,0.15339349,0.15601541,0.84343900,0.19197291,1.19027060,0.76956199,-0.19932571,534,2021,0.31589045,2022,-0.10629148,286405.22147708,110.10388304,0.65908253,0.00250236,0.47588557,0.12925706,,,0.15929051,0.04524100,,,0.36263674,0.04048124
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 3m+2,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,3m+2,0.10441853,0.43597731,0.10359988,0.43383256,88717.21167986,44000.00000000,44717.21167986,1.01630027,0.20000710,0.20280981,1.01222788,0.20106651,1.44765237,0.83039967,-0.24085643,474,2023,0.39585023,2022,-0.06528159,344929.42172474,131.74255904,0.69917243,0.00299415,0.46032713,0.13825237,,,0.15358380,0.04675231,,,0.38396593,0.05212389
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,1w,0.00730829,0.25172905,0.00674641,0.25173048,70538.76102315,44000.00000000,26538.76102315,0.60315366,0.14013146,0.13581882,0.80709741,0.18448615,1.12170128,0.70211923,-0.19958356,,2023,0.42123452,2022,-0.14587928,1813621.85978194,600.61944300,4.07024899,0.01365044,0.46395540,0.14919282,0.15422519,0.04861894,,,,,0.38050971,0.08341283
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,2w,0.02199948,0.35502322,0.02139157,0.35502468,75396.33485820,44000.00000000,31396.33485820,0.71355306,0.15176187,0.15518146,0.84953846,0.18803081,1.20114556,0.78558450,-0.19318338,553,2023,0.45599540,2022,-0.15218271,1157266.17208471,381.42774102,2.56706115,0.00866881,0.46316794,0.14872668,0.15401441,0.04898819,,,,,0.38140751,0.11125769
