label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 1w,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,1w,0.00732613,0.25163581,0.00683461,0.25164813,65677.18602074,44000.00000000,21677.18602074,0.49266332,0.12187374,0.11512962,0.72982103,0.18087707,1.01043539,0.57566225,-0.21171049,,2023,0.41301086,2022,-0.14052250,1743975.51632212,3487.95103264,4.06835105,0.07927161,0.46392359,0.14906178,,,0.15419198,0.04821333,,,0.38041563,0.08332987
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2w,0.02201955,0.35495031,0.02149537,0.35496285,71617.28465322,44000.00000000,27617.28465322,0.62766556,0.13895124,0.14022454,0.80138310,0.18446279,1.13146201,0.73628566,-0.18871920,546,2023,0.45469626,2022,-0.14398994,1122997.71893786,2245.99543788,2.56114052,0.05104535,0.46323951,0.14842591,,,0.15387931,0.04804146,,,0.38131794,0.11150570
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2w+1,0.01949073,0.35513519,0.01896739,0.35084796,64602.17073436,44000.00000000,20602.17073436,0.46823115,0.11373788,0.11035796,0.67510060,0.18616500,0.92656798,0.51258026,-0.22189282,,2023,0.43157532,2022,-0.16928515,1214941.89641545,2429.88379283,2.86792353,0.05522463,0.46077091,0.14636034,,,0.15331172,0.04781234,,,0.38434601,0.08360868
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,,0.00106026,0.00484001,0.00076189,0.00202339,77187.42777345,44000.00000000,33187.42777345,0.75425972,0.15704431,0.16202479,0.82805399,0.20172315,1.15710190,0.78911561,-0.19901306,449,2023,0.46985656,2022,-0.14421833,782933.81228471,1565.86762457,1.77044546,0.03558790,0.44985782,0.14842591,,,0.14964813,0.04804146,,,0.39915012,0.13812392
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2m,0.07248910,0.51328620,0.07164062,0.50706114,80070.18783622,44000.00000000,36070.18783622,0.81977700,0.17274377,0.17273159,0.88518076,0.20467956,1.24752485,0.78428693,-0.22025584,474,2023,0.40119075,2022,-0.15207119,362299.85467969,724.59970936,0.79763750,0.01646818,0.44816733,0.14842591,,,0.14917117,0.04804146,,,0.40083441,0.12540383
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m+1,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2m+1,0.06353366,0.42907024,0.06291514,0.42773267,73064.06048321,44000.00000000,29064.06048321,0.66054683,0.14532567,0.14603687,0.75866493,0.20852514,1.06205330,0.70176157,-0.20708696,,2023,0.40473251,2022,-0.12206974,488703.34121168,977.40668242,1.08622520,0.02221379,0.44267836,0.12852841,,,0.14807342,0.04561443,,,0.40739743,0.13590975
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m,0.09576555,0.51636764,0.09430854,0.50822775,76263.20135378,44000.00000000,32263.20135378,0.73325458,0.15846176,0.15851244,0.72678704,0.24481305,1.01433393,0.62434174,-0.25380613,161,2023,0.45484971,2022,-0.17618764,302914.02387079,605.82804774,0.65383356,0.01376882,0.40631257,0.12846540,,,0.13681015,0.04565967,,,0.45457104,0.15548947
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+1,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m+1,0.08506971,0.34256524,0.08423439,0.34257785,74034.66421170,44000.00000000,30034.66421170,0.68260600,0.14562352,0.14987552,0.81522471,0.18975817,1.15281998,0.69240601,-0.21031521,567,2023,0.31413367,2022,-0.17829681,278901.63240650,557.80326481,0.65511642,0.01267735,0.46610663,0.12961768,,,0.15604246,0.04532535,,,0.37551793,0.09237406
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+2,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m+2,0.09093506,0.43555688,0.09031634,0.43359670,85751.58311417,44000.00000000,41751.58311417,0.94889962,0.18784859,0.19281495,0.96643607,0.19971481,1.38389534,0.77946703,-0.24099620,474,2023,0.43365980,2022,-0.13438408,333273.83535671,666.54767071,0.69887121,0.01514881,0.44992565,0.13858817,,,0.15019887,0.04668848,,,0.39790091,0.13591070
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,1w,0.03126231,0.28451047,0.03089299,0.28451891,62643.53295945,44000.00000000,18643.53295945,0.42371666,0.11305347,0.10146540,0.69000296,0.17944229,0.95203160,0.53418106,-0.21163886,,2023,0.29276775,2022,-0.05727188,1587222.84318582,3174.44568637,3.76385875,0.07214649,0.48261734,0.14906178,,,0.16043636,0.04824715,,,0.35561997,0.04122022
