label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL25+BTAL25+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL25+KMLM50,0.20000000,0.02367636,0.23210208,0.02285876,0.23210717,87710.31508021,44000.00000000,43710.31508021,0.99341625,0.19572966,0.19886717,0.93849944,0.21667230,1.30714938,0.87567481,-0.22351866,435,2023,0.41227883,2022,-0.08081590,802853.59484008,246.95251382,1.71105024,0.00561256,0.15399393,0.04385963,0.15518229,0.04908396,,,0.31058967,0.09929471,,,0.37771275,0.04117072
VT TQQQ/BIL25+BTAL25+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL25+KMLM50,0.25000000,0.02863090,0.28800553,0.02776218,0.28801013,98343.31798968,44000.00000000,54343.31798968,1.23507541,0.22682690,0.23256194,0.92215321,0.25971044,1.28593229,0.83706095,-0.27098014,432,2023,0.49956460,2022,-0.14535311,899792.52588070,276.22490246,1.79593188,0.00627784,0.13356097,0.04370529,0.13483552,0.04891123,,,0.26987848,0.09889846,,,0.45901579,0.05358724
VT TQQQ/BIL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+KMLM25,0.20000000,0.02273218,0.22964571,0.02213172,0.22964799,89556.18433558,44000.00000000,45556.18433558,1.03536783,0.19411033,0.20497916,0.90549152,0.22513849,1.26332641,0.87775422,-0.22114429,235,2023,0.46385272,2022,-0.16096207,798747.89310463,135.68793350,1.72332876,0.00308382,0.46452256,0.14653941,,,,,0.15488428,0.04969558,,,0.37837879,0.04362990
VT TQQQ/BIL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+KMLM25,0.25000000,0.02749284,0.28481388,0.02682706,0.28481610,99607.39279528,44000.00000000,55607.39279528,1.26380438,0.22383706,0.23634088,0.88992429,0.26918017,1.24290265,0.81938549,-0.27317674,600,2023,0.55263183,2022,-0.21639520,893089.32073811,151.49758474,1.80356453,0.00344313,0.40320329,0.14591829,,,,,0.13448290,0.04920448,,,0.45990392,0.05678126
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.20000000,0.02263810,0.22929800,0.02201155,0.22929916,90302.69650428,44000.00000000,46302.69650428,1.05233401,0.19478230,0.20741779,0.89447739,0.22971348,1.24914238,0.85640657,-0.22744139,394,2023,0.45223901,2022,-0.17219109,800815.88293574,100.07168793,1.72450393,0.00227436,0.46431957,0.14705967,,,0.15478910,0.04878803,,,,,0.37856289,0.04397873
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.25000000,0.02728442,0.28479527,0.02666278,0.28479658,100061.44560854,44000.00000000,56061.44560854,1.27412376,0.22385308,0.23768748,0.88082934,0.27322678,1.23146059,0.78742325,-0.28428558,601,2023,0.54198040,2022,-0.22505727,896290.32639538,112.04366137,1.80722795,0.00254645,0.40332802,0.14627137,,,0.13450417,0.04852650,,,,,0.45995602,0.05680078
VT TQQQ/BIL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+KMLM50,0.20000000,0.02333296,0.23063707,0.02273134,0.23064077,91469.44745471,44000.00000000,47469.44745471,1.07885108,0.20533855,0.21119199,0.93749609,0.22825239,1.30713873,0.86311511,-0.23790402,398,2023,0.45005084,2022,-0.11694896,811546.19545958,194.00775531,1.71504806,0.00440927,0.30917064,0.09490070,,,,,0.31039466,0.09916044,,,0.37798969,0.04263712
VT TQQQ/BIL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+KMLM50,0.25000000,0.02793412,0.28630165,0.02729327,0.28630541,101866.03703771,44000.00000000,57866.03703771,1.31513721,0.23519366,0.24298439,0.92037970,0.27086962,1.28516134,0.82844618,-0.28389733,398,2023,0.53888244,2022,-0.17659268,909687.03378747,216.92255406,1.79963388,0.00493006,0.26877633,0.09460665,,,,,0.26965271,0.09864117,,,0.45937326,0.05529196
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.02184281,0.23263291,0.02171410,0.23263898,72773.96840703,44000.00000000,28773.96840703,0.65395383,0.13934984,0.14445040,0.76022861,0.19860145,1.06005597,0.63467967,-0.21955932,209,2023,0.32712110,2022,-0.07745348,735766.61113008,277.53332191,1.69714645,0.00630758,,,0.62119422,0.19859073,,,,,,,0.37803394,0.04063892
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.02650787,0.28865319,0.02635955,0.28865936,83437.78719540,44000.00000000,39437.78719540,0.89631335,0.17523357,0.18424739,0.80205887,0.23790432,1.11641884,0.78083056,-0.22441946,167,2023,0.41034343,2022,-0.14273284,826081.23471547,310.68428334,1.78019979,0.00706101,,,0.53966383,0.19877942,,,,,,,0.45959871,0.05293801
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.20000000,0.02180939,0.22818416,0.02149810,0.22818469,87582.52924858,44000.00000000,43582.52924858,0.99051203,0.18222732,0.19843964,0.86001177,0.22541562,1.20058496,0.74404148,-0.24491553,605,2023,0.47800145,2022,-0.20582666,782676.20650104,77.93943838,1.72550233,0.00177135,0.61932652,0.19854900,,,,,,,,,0.37888300,0.04509320
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.25000000,0.02653695,0.28322340,0.02617365,0.28322394,97316.28558917,44000.00000000,53316.28558917,1.21173376,0.21196497,0.22945851,0.85173504,0.26998698,1.19016744,0.70261183,-0.30168147,606,2023,0.56609974,2022,-0.25594220,876400.31056455,87.42007976,1.80778625,0.00198682,0.53769585,0.19503772,,,,,,,,,0.46045133,0.05837343
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.20000000,0.02238290,0.23038519,0.02192367,0.23038668,80296.28244597,44000.00000000,36296.28244597,0.82491551,0.16241425,0.17304458,0.84983259,0.20226093,1.18557208,0.85693840,-0.18952851,572,2023,0.40310112,2022,-0.14211697,764142.37850374,180.38174153,1.71866887,0.00409959,0.30910139,0.09585802,0.31025521,0.09902413,,,,,,,0.37859203,0.04289122
