label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.02143258,0.41243689,0.02118207,0.41269263,120678.36211142,53500.00000000,67178.36211142,1.25567032,0.20442616,0.18557393,0.97797520,0.21440483,1.35345243,1.01654385,-0.20109921,324,2019,0.40960053,2022,-0.07921988,1375881.97029789,456.62588460,1.66628669,0.00853506,0.46813765,0.14943157,0.15583495,0.04968393,,,0.37528792,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.02562735,0.27327652,0.02541241,0.27327789,114838.24646601,53500.00000000,61338.24646601,1.14650928,0.20058656,0.17428453,0.95744824,0.21600568,1.33009508,0.72708967,-0.27587596,428,2019,0.40960053,2022,0.03990918,1642906.40855546,544.36774788,1.96263274,0.01017510,0.48996801,0.14972584,0.16309602,0.04951696,,,0.34624016,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.01750274,0.22740519,0.01723595,0.22740676,116491.93111192,53500.00000000,62991.93111192,1.17741927,0.18671181,0.17753742,0.90630700,0.21512732,1.25124003,0.92811162,-0.20117388,324,2023,0.34343465,2022,-0.07911135,1313369.32011739,434.81617317,1.66240246,0.00812741,0.46513278,0.14955055,0.15483716,0.04900583,,,0.37925410,0.04587114
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.02353379,0.24160047,0.02329251,0.24160532,112521.90566439,53500.00000000,59021.90566439,1.10321319,0.17356491,0.16964983,0.85938550,0.21344609,1.18400440,0.86347284,-0.20100796,324,2023,0.34331659,2022,-0.07919851,1247636.94439445,413.26209878,1.64611577,0.00772453,0.46969974,0.14932423,0.15636580,0.04968447,,,0.37314429,0.04567731
50/50,full,full,2019-05-08,2026-08-20,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.00046940,0.00155282,0.00035265,0.00133151,130954.34420726,53500.00000000,77454.34420726,1.44774475,0.21502261,0.20419870,0.79767218,0.30257369,1.12412301,0.48012873,-0.44784367,752,2023,0.69974912,2022,-0.42546175,431091.23495872,162.81458213,0.50426851,0.00304326,0.49975844,0.49866849,,,,,0.49975382,0.49922644
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.03981861,0.37517449,0.03971294,0.37517809,128739.83321755,53500.00000000,75239.83321755,1.40635202,0.21173059,0.20030859,0.85509058,0.26734428,1.19735417,0.56138760,-0.37715580,138,2023,0.48047197,2022,-0.27720877,350542.40872622,134.58055126,0.40595250,0.00251552,0.53913174,0.49887832,,,,,0.46037519,0.12482191
SPY benchmark,full,full,2019-05-08,2026-08-20,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.00569036,0.02233304,0.00569127,0.02233388,109341.60467571,53500.00000000,55841.60467571,1.04376831,0.15687362,0.16313093,0.84640906,0.19525087,1.19670123,0.46594534,-0.33667817,173,2021,0.28241522,2022,-0.18161772,53254.76437652,3.72783351,0.07556974,0.00006968,,,,,0.99430873,0.97766612,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,0.00066570,0.00187523,0.00052750,0.00164884,63324.40477073,37500.00000000,25824.40477073,0.68865079,0.18557579,0.18178566,0.90441835,0.21363576,1.26767714,0.71378631,-0.25998788,366,2023,0.45338507,2022,-0.15469441,386945.33537192,145.29627902,1.31126635,0.00387457,0.62775468,0.19907534,,,,,0.37153538,0.09931822
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200,0.02414453,0.22713285,0.02406227,0.22713641,62522.87942710,37500.00000000,25022.87942710,0.66727678,0.18316554,0.17724988,0.88791714,0.21585360,1.24134298,0.70403618,-0.26016495,366,2023,0.33043318,2022,-0.08383174,352025.25726454,133.57613560,1.18806782,0.00356203,0.65142062,0.19907534,,,,,0.34797352,0.04614148
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,VIX/VIX3M@1>=1.00,0.00877825,0.41239292,0.00865481,0.41269263,65392.25388270,37500.00000000,27892.25388270,0.74379344,0.21007036,0.19325735,1.00239961,0.21304498,1.40965285,0.80737225,-0.26019021,366,2023,0.45343541,2022,-0.15792881,414365.63534926,157.65112444,1.34090982,0.00420403,0.63605344,0.19963859,,,,,0.36331751,0.00000000
