label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.GDE.avg,exposure.GDE.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.NTSE.avg,exposure.NTSE.min,exposure.NTSI.avg,exposure.NTSI.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.RPAR.avg,exposure.RPAR.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min,exposure.UPAR.avg,exposure.UPAR.min
GDE100,sens,sens_2022-09-19,2022-09-19,2025-09-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""GDE"":1.0}",0.00058203,0.00126145,0.00059643,0.00127500,64404.55960277,28000.00000000,36404.55960277,1.30016284,0.43130720,0.45729364,1.69565831,0.22788173,2.62327510,2.62245186,-0.16446716,70,2025,0.46147247,2022,0.04870639,27939.12102779,16.76347262,0.15625615,0.00059870,,,,,0.99940357,0.99872500,,,,,,,,,,,,,,,,
NTSX50/GDE50,sens,sens_2022-09-19,2022-09-19,2025-09-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""GDE"":0.5,""NTSX"":0.5}",0.00139064,0.00347611,0.00096848,0.00268009,51227.93788093,28000.00000000,23227.93788093,0.82956921,0.30099497,0.32093624,1.51933465,0.18538822,2.33509600,1.82391026,-0.16502729,83,2024,0.31291539,2022,0.00795617,30843.26012243,18.50595607,0.19545685,0.00066093,,,,,0.49942107,0.49873096,,,,,,,0.49917276,0.49731991,,,,,,,,
NTSX34/NTSI33/NTSE33,sens,sens_2022-09-19,2022-09-19,2025-09-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSE"":0.33,""NTSI"":0.33,""NTSX"":0.34}",0.00248049,0.00531176,0.00132858,0.00256182,39250.02957488,28000.00000000,11250.02957488,0.40178677,0.15846595,0.17298272,1.04483380,0.15264046,1.59240570,1.06947312,-0.14817198,231,2025,0.22829500,2022,0.01278107,29432.53605880,17.65952164,0.21954100,0.00063070,,,,,,,,,0.32934718,0.32801660,0.32904383,0.32778092,0.33911261,0.33743818,,,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-09-19,2022-09-19,2025-09-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03319577,0.27326557,0.03264905,0.27327789,40824.24970827,28000.00000000,12824.24970827,0.45800892,0.20230795,0.19415042,1.03725772,0.19743598,1.45330674,1.14673147,-0.17642138,,2023,0.32905426,2022,0.04156158,273485.81127392,105.35256785,1.82113417,0.00376259,0.47034298,0.14979837,,,,,0.15627669,0.04973437,,,,,,,,,,,0.37174547,0.00000000,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-09-19,2022-09-19,2025-09-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03298527,0.27326869,0.03247777,0.27327789,41683.80305393,28000.00000000,13683.80305393,0.48870725,0.21207977,0.20545866,1.07028929,0.19930014,1.49897229,1.15898587,-0.18298736,,2023,0.31872309,2022,0.04903341,277568.03492556,93.19836583,1.83319959,0.00332851,0.47032377,0.14965225,0.15630276,0.04950649,,,,,,,,,,,,,,,0.37188270,0.00000000,,
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-09-19,2022-09-19,2025-09-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03293766,0.27326575,0.03240871,0.27327789,40307.60259094,28000.00000000,12307.60259094,0.43955724,0.18975622,0.18726989,0.94918497,0.20658271,1.32810950,0.90944660,-0.20865020,,2023,0.35324982,2022,-0.00229016,269601.16600393,103.96205384,1.83957494,0.00371293,0.31333043,0.09997422,,,,,0.31312389,0.09942700,,,,,,,,,,,0.37195445,0.00000000,,
SPY benchmark,sens,sens_2022-09-19,2022-09-19,2025-09-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01252277,0.03125647,0.01252451,0.03129037,42179.17417716,28000.00000000,14179.17417716,0.50639908,0.20482670,0.21189899,1.21430115,0.16546996,1.86418754,1.09913508,-0.18635262,127,2023,0.25453898,2022,-0.00936473,27636.39065820,1.93454735,0.19007986,0.00006909,,,,,,,,,,,,,,,,,0.98747549,0.96870963,,,,
NTSX100,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00079587,0.00210725,0.00081086,0.00211504,39010.66032679,28000.00000000,11010.66032679,0.39323787,0.18135605,0.16973275,1.20034208,0.14909647,1.74430350,1.07421247,-0.16882699,200,2024,0.19962714,2026,-0.01644079,27983.98931046,16.79039359,0.19161914,0.00059966,,,,,,,,,,,,,0.99918914,0.99788496,,,,,,,,
NTSI100,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSI"":1.0}",0.00087319,0.00224865,0.00088866,0.00226125,37144.48389934,28000.00000000,9144.48389934,0.32658871,0.13826479,0.14370462,1.00935325,0.13874889,1.46175891,1.00673556,-0.13733973,154,2025,0.29576097,2024,0.00665695,27956.37240650,16.77382344,0.20900600,0.00059907,,,,,,,,,,,0.99911134,0.99773875,,,,,,,,,,
NTSE100,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSE"":1.0}",0.00073150,0.00177426,0.00074707,0.00178777,42350.10970611,28000.00000000,14350.10970611,0.51250392,0.18413630,0.21412333,1.08125961,0.17092863,1.60099584,0.97408777,-0.18903460,251,2025,0.35526504,2024,0.03920092,27980.80061058,16.78848037,0.20675921,0.00059959,,,,,,,,,0.99925293,0.99821223,,,,,,,,,,,,
RPAR100,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""RPAR"":1.0}",0.00058397,0.00175496,0.00059997,0.00205435,34240.62862340,28000.00000000,6240.62862340,0.22287959,0.08351684,0.10122475,0.77175135,0.11292194,1.10318287,0.59310187,-0.14081365,398,2025,0.17407487,2024,-0.00326699,27974.97322529,16.78498394,0.22797554,0.00059946,,,,,,,,,,,,,,,0.99940003,0.99794565,,,,,,
UPAR100,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""UPAR"":1.0}",0.00038178,0.00099620,0.00039783,0.00116764,35705.91394732,28000.00000000,7705.91394732,0.27521121,0.09614063,0.12297788,0.66449861,0.15786479,0.94052721,0.47325638,-0.20314703,456,2025,0.23195253,2024,-0.02742216,27974.54093599,16.78472456,0.22806880,0.00059945,,,,,,,,,,,,,,,,,,,,,0.99960217,0.99883236
GDE100,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""GDE"":1.0}",0.00066423,0.00138284,0.00067846,0.00139640,71310.87668094,28000.00000000,43310.87668094,1.54681702,0.49033676,0.52078458,1.81816606,0.23649379,2.68016739,2.98138116,-0.16446631,70,2025,0.72499922,2026,0.10750055,27927.20077791,16.75632047,0.14443235,0.00059844,,,,,0.99932154,0.99860360,,,,,,,,,,,,,,,,
NTSX50/GDE50,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""GDE"":0.5,""NTSX"":0.5}",0.00172385,0.00390716,0.00113175,0.00269537,52843.86678187,28000.00000000,24843.86678187,0.88728096,0.32965118,0.33888354,1.72672247,0.17508004,2.55799738,1.99711979,-0.16506330,83,2025,0.43397932,2026,0.04563217,35092.41548601,21.05544929,0.20957225,0.00075198,,,,,0.49929552,0.49827269,,,,,,,0.49896472,0.49730463,,,,,,,,
NTSX34/NTSI33/NTSE33,sens,sens_2023-03-17,2023-03-17,2026-03-17,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSE"":0.33,""NTSI"":0.33,""NTSX"":0.34}",0.00263974,0.00589697,0.00133838,0.00244160,39562.54267451,28000.00000000,11562.54267451,0.41294795,0.16972364,0.17725514,1.21482449,0.13777252,1.79407744,1.14675826,-0.14800298,231,2025,0.27771884,2026,0.03298420,30382.97830826,18.22978698,0.21943377,0.00065106,,,,,,,,,0.32928858,0.32779523,0.32912010,0.32795071,0.33893569,0.33755840,,,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-03-17,2023-03-17,2026-03-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00368228,0.06671743,0.00310272,0.06672260,39689.93164157,28000.00000000,11689.93164157,0.41749756,0.20562216,0.17898060,1.01586227,0.20649834,1.41210605,1.16645733,-0.17627919,448,2023,0.33054617,2026,-0.03245053,309141.59976247,117.29714296,2.01766336,0.00418918,0.41687650,0.14960424,,,,,0.13841563,0.04943516,,,,,,,,,,,0.44313778,0.20060039,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-03-17,2023-03-17,2026-03-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00365691,0.06509132,0.00302168,0.06509354,40764.63735890,28000.00000000,12764.63735890,0.45587991,0.21943121,0.19337884,1.05862097,0.20962180,1.47081059,1.20046973,-0.18278779,447,2023,0.33452077,2026,-0.03178179,314690.83887447,104.85212884,2.02135985,0.00374472,0.41679249,0.14976774,0.13853850,0.04961450,,,,,,,,,,,,,,,0.44311543,0.20080625,,
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-03-17,2023-03-17,2026-03-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00376227,0.06441789,0.00301817,0.06442456,40631.12005219,28000.00000000,12631.12005219,0.45111143,0.21650581,0.19160523,1.01837088,0.21708800,1.41723225,1.03890414,-0.20839826,448,2023,0.35027157,2026,-0.01814653,310917.46222540,118.04788022,2.02779015,0.00421600,0.27767044,0.09974634,,,,,0.27743937,0.09952145,,,,,,,,,,,0.44312426,0.20303579,,
SPY benchmark,sens,sens_2023-03-17,2023-03-17,2026-03-17,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01079112,0.02835982,0.01079282,0.02836107,40549.94333030,28000.00000000,12549.94333030,0.44821226,0.20882355,0.19052482,1.35557747,0.14905493,2.02886844,1.11617622,-0.18708833,127,2024,0.24426075,2026,-0.01592055,27536.91714153,1.92758420,0.18123161,0.00006884,,,,,,,,,,,,,,,,,0.98920718,0.97163893,,,,
