label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,,0.00016831,0.00163809,0.00017073,0.00162354,544890.22028908,97500.00000000,447390.22028908,4.58861764,0.20295808,0.19284219,1.01267701,0.20347722,1.41860852,0.73885984,-0.27469091,530,2023,0.48947420,2022,-0.23124039,4637846.26347741,1745.09794769,0.82305966,0.01789844,0.56118039,0.49837646,,,0.43862801,0.12429035
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,QQQ<SMA200,0.01337640,0.27337818,0.01337869,0.27337880,506571.09000182,97500.00000000,409071.09000182,4.19560092,0.19442794,0.18509200,0.99018415,0.20023038,1.38309712,0.76524777,-0.25407189,362,2017,0.46842364,2022,-0.15358913,3909972.16171314,1474.68850894,0.74090755,0.01512501,0.57438880,0.49837646,,,0.42541550,0.06821857
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,,0.00017908,0.00139468,0.00019147,0.00152740,607655.40458804,97500.00000000,510155.40458804,5.23236312,0.21642057,0.20441007,0.97393091,0.22866953,1.35670168,0.78147779,-0.27693758,530,2013,0.58735230,2022,-0.23360796,7110856.51372905,2670.10654164,1.17153991,0.02738571,0.51107245,0.39859789,,,0.48871443,0.12429392
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,QQQ<SMA200,0.01355299,0.27325636,0.01356409,0.27325693,563860.80383432,97500.00000000,466360.80383432,4.78318773,0.20768888,0.19647568,0.95200088,0.22562027,1.32292487,0.82790135,-0.25086187,355,2013,0.58729631,2022,-0.15631374,6175232.80211909,2322.04757412,1.08802759,0.02381587,0.52447581,0.39859789,,,0.47532310,0.06834044
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,,0.00015508,0.00134188,0.00017971,0.00152740,643723.91288829,97500.00000000,546223.91288829,5.60229654,0.22285375,0.21052084,0.93351619,0.24967347,1.29511764,0.79111224,-0.28169676,571,2017,0.65181644,2022,-0.23359669,9662371.16228521,3625.12833565,1.55224588,0.03718080,0.47427721,0.29892088,,,0.52551984,0.12429953
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,QQQ<SMA200,0.01366210,0.27320990,0.01368508,0.27321047,597947.92891315,97500.00000000,500447.92891315,5.13279927,0.21416948,0.20270258,0.91261095,0.24677042,1.26353072,0.84320591,-0.25399428,337,2017,0.65178731,2022,-0.15639253,8560065.33838046,3214.49220571,1.46913816,0.03296915,0.48777719,0.29892088,,,0.51201353,0.06838690
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,,0.00018035,0.00134188,0.00021634,0.00152740,686038.60988354,97500.00000000,588538.60988354,6.03629343,0.23018550,0.21726326,0.91297839,0.26672715,1.26591070,0.78628284,-0.29275152,455,2017,0.74657670,2022,-0.23362490,12090961.21790266,4535.80217500,1.86419311,0.04652105,0.44633896,0.19908747,,,0.55341955,0.12429698
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,QQQ<SMA200,0.01368390,0.27314004,0.01371941,0.27314058,636930.16773300,97500.00000000,539430.16773300,5.53261710,0.22145758,0.20939677,0.89257754,0.26401643,1.23540962,0.80224701,-0.27604662,574,2017,0.74656580,2022,-0.15644911,10804341.63305799,4055.99917874,1.78044314,0.04159999,0.45981878,0.19928420,,,0.53992263,0.06845678
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,,0.00016117,0.00173099,0.00016301,0.00191068,668433.77046887,97500.00000000,570933.77046887,5.85573098,0.22369017,0.21451054,1.04349884,0.21651540,1.47145543,0.69395202,-0.32234241,530,2023,0.62451509,2022,-0.28012172,4397223.76548199,1654.19625895,0.68010661,0.01696612,0.53839420,0.49808932,,,0.46142407,0.14916294
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,QQQ<SMA200,0.01538791,0.32415249,0.01538656,0.32415305,621758.66765042,97500.00000000,524258.66765042,5.37701198,0.21503133,0.20684211,1.03567930,0.20991598,1.45597282,0.85777193,-0.25068591,140,2017,0.47759228,2022,-0.18982249,3525126.64571191,1329.82396406,0.58322844,0.01363922,0.55363338,0.49808932,,,0.44618430,0.08576379
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.60000000,,0.00015139,0.00175383,0.00015837,0.00190927,824016.53875668,97500.00000000,726516.53875668,7.45145168,0.24798530,0.23665628,1.01568832,0.24950300,1.41971486,0.71731262,-0.34571440,533,2023,0.64756697,2022,-0.30489792,7335885.11257415,2755.53460674,0.98078035,0.02826189,0.47346123,0.39889101,,,0.52636056,0.14915511
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.60000000,QQQ<SMA200,0.01555451,0.32393290,0.01556178,0.32393340,760127.28217126,97500.00000000,662627.28217126,6.79617725,0.23853260,0.22811745,1.00281700,0.24366704,1.39758223,0.86254363,-0.27654555,533,2013,0.61174426,2022,-0.21789972,6140373.03858943,2309.95298226,0.88521813,0.02369183,0.48886288,0.39900717,,,0.51095548,0.08598344
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.70000000,,0.00016650,0.00175383,0.00018393,0.00190927,921774.64930264,97500.00000000,824274.64930264,8.45409897,0.26177468,0.24851808,0.98144141,0.27685278,1.36590625,0.74142204,-0.35307107,601,2013,0.75933676,2022,-0.30758596,10888118.89256008,4085.96326148,1.34475788,0.04190732,0.42216109,0.29899181,,,0.57763432,0.14916473
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.70000000,QQQ<SMA200,0.01564361,0.32381352,0.01566211,0.32381398,849042.87732669,97500.00000000,751542.87732669,7.70813208,0.25218083,0.23982166,0.96718682,0.27150161,1.34263310,0.88583860,-0.28468033,602,2013,0.75927221,2022,-0.22097346,9356954.48280937,3514.60186261,1.24763258,0.03604720,0.43764953,0.29899181,,,0.56215044,0.08610286
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.80000000,,0.00016853,0.00175383,0.00020063,0.00190927,970227.62792906,97500.00000000,872727.62792906,8.95105259,0.26779238,0.25393991,0.94425470,0.29995923,1.30939521,0.74449732,-0.35969555,605,2013,0.82281468,2022,-0.30759244,14335282.39472197,5377.48245102,1.73750410,0.05515367,0.38225691,0.19863239,,,0.61752254,0.14914707
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.80000000,QQQ<SMA200,0.01595404,0.32378612,0.01598557,0.32378658,893919.08782970,97500.00000000,796419.08782970,8.16840090,0.25810834,0.24527111,0.92952892,0.29478029,1.28605482,0.80939909,-0.31888884,578,2013,0.82277043,2022,-0.22100248,12540987.27666322,4707.46503907,1.64073562,0.04828169,0.39806541,0.19863239,,,0.60172172,0.08613026
VT TQQQ/BTAL t35 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.50000000,,0.00017623,0.00173099,0.00017489,0.00191068,713151.93704130,97500.00000000,615651.93704130,6.31437884,0.23009492,0.22136649,1.02566174,0.22783911,1.44899212,0.62471445,-0.36832015,535,2023,0.68820327,2022,-0.32774448,3998934.55965373,1504.86976123,0.59163679,0.01543456,0.52499867,0.49808932,,,0.47480680,0.17400707
VT TQQQ/BTAL t35 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.50000000,QQQ<SMA200,0.01697831,0.37342029,0.01697648,0.37342083,671449.59810648,97500.00000000,573949.59810648,5.88666254,0.22262756,0.21498725,1.03587430,0.21747133,1.45931616,0.79828969,-0.27888067,535,2017,0.47761458,2022,-0.22589639,3073533.54701273,1159.98443260,0.48187621,0.01189728,0.54184142,0.49808932,,,0.45798080,0.10481548
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.60000000,,0.00013682,0.00121431,0.00014196,0.00122929,1019044.40348496,97500.00000000,921544.40348496,9.45173747,0.26972674,0.25913677,1.03845952,0.26440448,1.45980346,0.68951462,-0.39118350,535,2023,0.80196867,2022,-0.35093845,6843783.10682765,2571.15024874,0.78813919,0.02637077,0.44959504,0.39877071,,,0.55024495,0.17402676
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.60000000,QQQ<SMA200,0.01751820,0.37302144,0.01752024,0.37302189,941209.13232332,97500.00000000,843709.13232332,8.65342700,0.26018533,0.25072608,1.03682777,0.25522707,1.45283201,0.83561824,-0.31136866,535,2013,0.62244829,2022,-0.25285001,5480799.86462063,2062.61970178,0.68156115,0.02115507,0.46698201,0.39877071,,,0.53285511,0.10521442
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.70000000,,0.00014134,0.00134428,0.00015282,0.00132697,1225125.49379465,97500.00000000,1127625.49379465,11.56538968,0.29137489,0.27865535,1.00817131,0.29893811,1.40735011,0.70009384,-0.41619405,605,2023,0.81482242,2022,-0.37409642,11293341.70349827,4238.40440109,1.14258278,0.04347081,0.38573604,0.29867303,,,0.61409212,0.17401720
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.70000000,QQQ<SMA200,0.01759943,0.37279179,0.01761175,0.37279219,1124341.56006090,97500.00000000,1026841.56006090,10.53170831,0.28126138,0.26955290,1.00110328,0.29076754,1.39327924,0.82440608,-0.34116849,605,2013,0.77829402,2022,-0.27968274,9433887.94851255,3543.94172632,1.03691885,0.03634812,0.40318299,0.29867303,,,0.59663714,0.10544412
VT TQQQ/BTAL t35 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.80000000,,0.00014392,0.00102753,0.00016979,0.00113490,1366606.84804498,97500.00000000,1269106.84804498,13.01648049,0.30480367,0.29025903,0.97900223,0.32780531,1.36206202,0.71741218,-0.42486548,606,2013,0.93833945,2022,-0.37700640,16376659.78649975,6142.94216144,1.53136389,0.06300453,0.33362129,0.19904924,,,0.66619244,0.17401724
VT TQQQ/BTAL t35 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.80000000,QQQ<SMA200,0.01756032,0.37266678,0.01758295,0.37266715,1252857.87687475,97500.00000000,1155357.87687475,11.84982438,0.29460597,0.28103044,0.96970619,0.32033885,1.34558845,0.83934386,-0.35099556,606,2013,0.93817339,2022,-0.28311719,14007211.32590341,5257.18397346,1.42411136,0.05391984,0.35106659,0.19904924,,,0.64875832,0.10556916
VT TQQQ/BTAL t40 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.50000000,,0.00015269,0.00173099,0.00015234,0.00191068,729553.94622718,97500.00000000,632053.94622718,6.48260458,0.23255796,0.22377316,1.00171425,0.23755026,1.41575297,0.58046290,-0.40064225,683,2023,0.69969386,2022,-0.36210249,3642236.49520756,1371.75439807,0.53205845,0.01406928,0.51512809,0.49808932,,,0.48470259,0.19887700
VT TQQQ/BTAL t40 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.50000000,QQQ<SMA200,0.01800076,0.37426474,0.01799526,0.37426528,692315.60597652,97500.00000000,594815.60597652,6.10067288,0.22597801,0.21822755,1.02381763,0.22416040,1.44323088,0.73532943,-0.30731534,680,2019,0.48180133,2022,-0.26201318,2768813.17445091,1046.37663665,0.42461229,0.01073207,0.53296829,0.49808932,,,0.46685460,0.12573472
VT TQQQ/BTAL t40 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.60000000,,0.00014894,0.00125146,0.00015375,0.00129278,1104771.69393979,97500.00000000,1007271.69393979,10.33099173,0.27780784,0.26769220,1.02644616,0.27702691,1.44661715,0.63851395,-0.43508500,567,2023,0.89001150,2022,-0.39565834,6279110.24973824,2359.26654879,0.68427434,0.02419761,0.43485632,0.39885787,,,0.56497407,0.19888592
VT TQQQ/BTAL t40 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.60000000,QQQ<SMA200,0.01898677,0.42028224,0.01898840,0.42028267,1034769.41358651,97500.00000000,937269.41358651,9.61301963,0.26964303,0.26075828,1.03860269,0.26427727,1.45921244,0.78932107,-0.34161387,563,2013,0.62241144,2022,-0.28776938,4899506.42825829,1844.39808019,0.56997993,0.01891690,0.45372887,0.39885787,,,0.54611488,0.12627312
VT TQQQ/BTAL t40 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.70000000,,0.00013647,0.00135660,0.00014744,0.00133799,1514558.60522153,97500.00000000,1417058.60522153,14.53393441,0.31338459,0.30119253,1.02599626,0.31511436,1.43942855,0.68536218,-0.45725399,605,2023,0.98323403,2022,-0.41722213,10449018.91422827,3922.63734223,0.90503517,0.04023218,0.36099930,0.29866201,,,0.63883846,0.19887753
VT TQQQ/BTAL t40 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.70000000,QQQ<SMA200,0.01953081,0.41992666,0.01954074,0.41992702,1391530.57983374,97500.00000000,1294030.57983374,13.27210851,0.30315212,0.29217993,1.02718223,0.30367412,1.43621807,0.81200704,-0.37333681,601,2013,0.79173349,2022,-0.31341832,8410451.48887129,3160.83328638,0.79239471,0.03241880,0.38039613,0.29866201,,,0.61944250,0.12662876
VT TQQQ/BTAL t40 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.80000000,,0.00014253,0.00130522,0.00016176,0.00128698,1784358.72851831,97500.00000000,1686858.72851831,17.30111516,0.33289660,0.31867624,0.99851330,0.35061269,1.39323614,0.68960228,-0.48273709,752,2023,0.99112783,2022,-0.43880245,16890034.71749900,6336.02283165,1.30377719,0.06498485,0.29799771,0.19871302,,,0.70182556,0.19887312
VT TQQQ/BTAL t40 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.80000000,QQQ<SMA200,0.01949150,0.41973935,0.01951068,0.41973968,1632606.06609009,97500.00000000,1535106.06609009,15.74467760,0.32233790,0.30918929,0.99481836,0.34033240,1.38382948,0.79883801,-0.40350847,606,2013,0.95899775,2022,-0.33895767,14138156.81522713,5306.78680499,1.19182784,0.05442858,0.31738467,0.19871302,,,0.68245589,0.12681610
VT TQQQ/cash t25 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.25000000,0.50000000,,0.00002382,0.00009002,0.00002643,0.00009215,757759.05436673,97500.00000000,660259.05436673,6.77188774,0.23701926,0.22778727,1.03870142,0.23117000,1.44706585,0.65971487,-0.35927531,605,2023,0.64430325,2022,-0.32007422,2671606.63315579,400.74099497,0.40739309,0.00411016,,,,,0.43863689,0.12427881
VT TQQQ/cash t25 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.25000000,0.50000000,QQQ<SMA200,0.01284682,0.26600455,0.01284923,0.26600455,727558.70520572,97500.00000000,630058.70520572,6.46214057,0.23163763,0.22348332,1.04949858,0.22282181,1.45675181,0.81141566,-0.28547346,601,2013,0.58848251,2022,-0.25484452,2318026.66295515,347.70399944,0.36943520,0.00356619,,,,,0.42581409,0.07559282
VT TQQQ/cash t25 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.25000000,0.60000000,,0.00002108,0.00007762,0.00002440,0.00007963,844134.25401185,97500.00000000,746634.25401185,7.65778722,0.25023647,0.23920823,1.00620586,0.25505883,1.39672608,0.68355632,-0.36608026,606,2013,0.70925206,2022,-0.32186416,4224416.82676247,633.66252401,0.59046375,0.00649910,,,,,0.48873083,0.12428080
VT TQQQ/cash t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.25000000,0.60000000,QQQ<SMA200,0.01302503,0.26587201,0.01302773,0.26587201,809403.18927283,97500.00000000,711903.18927283,7.30157117,0.24471771,0.23476319,1.01173638,0.24737243,1.39988291,0.83486767,-0.29312156,605,2013,0.70925534,2022,-0.25690113,3774022.57570996,566.10338636,0.55193853,0.00580619,,,,,0.47572750,0.07572536
VT TQQQ/cash t25 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.25000000,0.70000000,,0.00001930,0.00008009,0.00002298,0.00008948,897507.26335479,97500.00000000,800007.26335479,8.20520270,0.25734621,0.24569498,0.97616213,0.27389806,1.35165231,0.69457900,-0.37050675,752,2013,0.75879985,2022,-0.32186782,5839777.26855085,875.96659028,0.78567835,0.00898427,,,,,0.52554417,0.12429425
VT TQQQ/cash t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.25000000,0.70000000,QQQ<SMA200,0.01309238,0.26583047,0.01309546,0.26583047,862165.67557027,97500.00000000,764665.67557027,7.84272488,0.25199246,0.24144439,0.97924396,0.26667291,1.35210189,0.83763701,-0.30083730,571,2013,0.75881114,2022,-0.25691902,5317682.77759985,797.65241664,0.74714255,0.00818105,,,,,0.51247170,0.07576690
