label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off30,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off30,0.01411520,0.21421334,0.01412428,0.21421389,630783.81450506,97500.00000000,533283.81450506,5.46957758,0.22051459,0.20814972,0.95073257,0.24089365,1.31923206,0.81177964,-0.27164341,140,2013,0.61174426,2022,-0.21774503,5500493.20780239,2069.98915758,0.90584201,0.02123066,0.49694271,0.39900717,,,0.50287127,0.08578611
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00767458,0.41247185,0.00768559,0.41247327,457152.99908053,97500.00000000,359652.99908053,3.68874871,0.18544468,0.17397212,0.81461251,0.24709569,1.13056472,0.47520094,-0.39024476,837,2013,0.61174426,2016,-0.21990072,5349506.15135960,2013.28467659,1.15709490,0.02064907,0.52576158,0.39900717,,,0.47401265,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.01632316,0.32393290,0.01633065,0.32393340,737546.62630334,97500.00000000,640046.62630334,6.56458078,0.23569135,0.22469121,0.99546420,0.24304593,1.38567477,0.86535471,-0.27236386,566,2013,0.61174426,2022,-0.21789972,5922050.78726880,2228.10859871,0.86567027,0.02285240,0.48963313,0.39900717,,,0.51018665,0.08598344
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=2,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=2,0.02563451,0.50180357,0.02564271,0.50210305,644406.29951688,97500.00000000,546906.29951688,5.60929538,0.21447304,0.21041138,0.92963685,0.24104389,1.28921955,0.78954483,-0.27164137,140,2013,0.60838435,2022,-0.21777972,5296865.42017594,1996.39238410,0.86505969,0.02047582,0.49894221,0.39852968,,,0.50086772,0.00000000
50/50,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00016371,0.00173099,0.00015919,0.00191068,771165.07818270,97500.00000000,673665.07818270,6.90938542,0.23748682,0.22940341,0.94919975,0.26123369,1.34177138,0.53000552,-0.44808367,752,2023,0.69970737,2022,-0.42571147,3438150.67084379,1293.16930785,0.47911827,0.01326327,0.49985067,0.49808932,,,0.49997079,0.49989733
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02399859,0.35537593,0.02399505,0.35537645,709365.70021495,97500.00000000,611865.70021495,6.27554564,0.22878935,0.22057181,0.98777778,0.23800024,1.38913646,0.60634893,-0.37732293,138,2019,0.51184467,2022,-0.29178994,2494498.97525306,942.62977356,0.36892633,0.00966800,0.52370355,0.49808932,,,0.47612296,0.14462355
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,0.99834187,0.99112465,,
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00018305,0.00175383,0.00018813,0.00190927,289296.57238113,75500.00000000,213796.57238113,2.83174268,0.22543859,0.20272871,0.93583257,0.25150775,1.29768251,0.65209486,-0.34571440,,2013,0.61169807,2022,-0.30479233,2888481.31833062,1086.41457449,0.91540020,0.01438960,0.47313840,0.39889101,,,0.52665331,0.14915511
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.01760252,0.24145328,0.01760811,0.24145379,300365.15959686,75500.00000000,224865.15959686,2.97834648,0.22658619,0.20822268,0.95482680,0.24606958,1.32162123,0.83412680,-0.27164478,140,2013,0.61174426,2022,-0.21789894,2215018.94721764,836.37961322,0.75109094,0.01107788,0.49055306,0.39900717,,,0.50923390,0.09963704
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200 off0,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200 off0,0.00022302,0.00175383,0.00023831,0.00190927,296481.30249415,75500.00000000,220981.30249415,2.92690467,0.21381174,0.20631848,0.90270559,0.24964500,1.24944719,0.59172721,-0.36133498,681,2017,0.58814497,2016,-0.13941845,2493303.44023759,940.42678357,1.01514309,0.01245598,0.53441075,0.39900717,,,0.46532692,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA10M,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.01801322,0.24145531,0.01801868,0.24145583,296800.82309285,75500.00000000,221300.82309285,2.93113673,0.22514033,0.20647608,0.95073349,0.24582281,1.31546285,0.82873895,-0.27166616,140,2013,0.61174426,2022,-0.21791947,2180812.03926264,823.55492299,0.74541887,0.01090801,0.49096272,0.39900717,,,0.50882407,0.09963500
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0,0.01241520,0.22237516,0.01241751,0.22237572,272391.33792794,75500.00000000,196891.33792794,2.60783229,0.21552878,0.19391419,0.91311080,0.24786689,1.26121022,0.66748858,-0.32289509,,2013,0.61169807,2022,-0.27988280,2315103.92968048,873.16343489,0.80187739,0.01156508,0.48538061,0.39889101,,,0.51441533,0.11871511
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off30,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0 off30,0.00856090,0.18136157,0.00856458,0.18136218,249620.14024616,75500.00000000,174120.14024616,2.30622702,0.20409818,0.18112200,0.87813071,0.24661035,1.21037034,0.63212335,-0.32287714,,2013,0.61169807,2022,-0.27983587,2366502.90303468,892.21106955,0.87759371,0.01181737,0.48996518,0.39889101,,,0.50982187,0.11863782
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0 off0,0.00022576,0.00175383,0.00023908,0.00190927,188240.52371256,75500.00000000,112740.52371256,1.49325197,0.16378533,0.13958904,0.72845499,0.25246954,1.00316759,0.41975401,-0.39019360,837,2013,0.61169807,2016,-0.21985209,2632618.14856404,991.93194024,1.29790664,0.01313817,0.51954939,0.39889101,,,0.48018446,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOM12M<=0,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOM12M<=0,0.01109340,0.22230684,0.01109732,0.22230737,287326.18654896,75500.00000000,211826.18654896,2.80564485,0.22332184,0.20172851,0.93726415,0.24846788,1.29628419,0.69863341,-0.31965525,,2013,0.61169807,2022,-0.27645609,2438732.28724283,919.32723032,0.80615209,0.01217652,0.48405926,0.39889101,,,0.51573723,0.11878346
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOM12M<=0 off0,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOM12M<=0 off0,0.00019526,0.00175383,0.00020460,0.00190927,263402.94109705,75500.00000000,187902.94109705,2.48878068,0.20862231,0.18899934,0.87921535,0.25215046,1.21593606,0.68276698,-0.30555418,,2013,0.61169807,2022,-0.18212571,2497397.03629354,941.06293563,0.97275329,0.01246441,0.50484800,0.39889101,,,0.49492556,0.00000000
