label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL25+BTAL25+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL25+KMLM50,0.20000000,0.02347467,0.23238596,0.02274341,0.23238937,89177.78283235,44000.00000000,45177.78283235,1.02676779,0.20059336,0.20373581,0.95754599,0.21661462,1.33417591,0.90303989,-0.22213123,435,2023,0.41603445,2022,-0.07266655,811751.26245405,249.77854061,1.70990251,0.00567679,0.15412011,0.04932274,0.15519040,0.04967478,,,0.31058810,0.09934386,,,0.37772054,0.04108866
VT TQQQ/BIL25+BTAL25+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL25+KMLM50,0.25000000,0.02830162,0.28856093,0.02752692,0.28856448,99913.44287881,44000.00000000,55913.44287881,1.27076007,0.23156938,0.23724916,0.93680353,0.25982560,1.30666485,0.85722546,-0.27013824,432,2023,0.50334285,2022,-0.13712385,909811.07240479,279.30626103,1.79511653,0.00634787,0.13381101,0.04836604,0.13483213,0.04949771,,,0.26981239,0.09898973,,,0.45917225,0.05328306
VT TQQQ/BIL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL75+KMLM25,0.20000000,0.02274003,0.23009739,0.02210673,0.23009861,91093.53027872,44000.00000000,47093.53027872,1.07030751,0.19888094,0.20998088,0.92363827,0.22503239,1.28928174,0.90548971,-0.21963910,235,2023,0.47008435,2022,-0.15565155,807420.63002050,137.15015591,1.72274378,0.00311705,0.46458085,0.14943025,,,,,0.15491694,0.04973000,,,0.37825387,0.04337942
VT TQQQ/BIL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL75+KMLM25,0.25000000,0.02733488,0.28547985,0.02672617,0.28548146,101212.83166021,44000.00000000,57212.83166021,1.30029163,0.22838559,0.24107712,0.90369821,0.26922030,1.26257403,0.85124919,-0.26829464,394,2023,0.55883901,2022,-0.21155268,902878.66622564,153.07318625,1.80405129,0.00347894,0.40341122,0.14858434,,,,,0.13446687,0.04872740,,,0.45994118,0.05636608
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL75+DBMF25,0.20000000,0.02243333,0.22969613,0.02183678,0.22969721,91873.16670956,44000.00000000,47873.16670956,1.08802652,0.19960012,0.21248755,0.91227467,0.22965567,1.27464988,0.88772382,-0.22484484,394,2023,0.45882454,2022,-0.16843168,810186.26991455,101.25466693,1.72547963,0.00230124,0.46463150,0.14324445,,,0.15486367,0.04964202,,,,,0.37847022,0.04378082
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL75+DBMF25,0.25000000,0.02706207,0.28502075,0.02653969,0.28502184,101631.76875456,44000.00000000,57631.76875456,1.30981293,0.22830331,0.24230166,0.89407663,0.27327954,1.25046076,0.81620767,-0.27971229,601,2023,0.54815082,2022,-0.22233860,904948.42349356,113.16075975,1.80622390,0.00257184,0.40328379,0.14839599,,,0.13450057,0.04884440,,,,,0.46012248,0.05682570
VT TQQQ/BIL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+KMLM50,0.20000000,0.02304596,0.23134081,0.02249779,0.23134320,93259.12383532,44000.00000000,49259.12383532,1.11952554,0.21110042,0.21689535,0.95854155,0.22824501,1.33713833,0.89260710,-0.23649870,398,2023,0.45465113,2022,-0.10718394,823407.31381204,196.57017417,1.71631542,0.00446750,0.30957148,0.09892732,,,,,0.31044000,0.09921067,,,0.37796191,0.04213483
VT TQQQ/BIL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+KMLM50,0.25000000,0.02772179,0.28725409,0.02717809,0.28725652,103713.57778862,44000.00000000,59713.57778862,1.35712677,0.24057723,0.24831867,0.93642328,0.27091610,1.30794279,0.85049081,-0.28286870,398,2023,0.54329693,2022,-0.16796988,921992.82708126,219.86907748,1.80065347,0.00499702,0.26896940,0.09861660,,,,,0.26972929,0.09889718,,,0.45939711,0.05459102
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.20000000,0.02173081,0.23283194,0.02162186,0.23283789,73445.31984069,44000.00000000,29445.31984069,0.66921181,0.14171162,0.14711298,0.77066919,0.19861802,1.07501479,0.64545201,-0.21955408,191,2023,0.33112225,2022,-0.07632879,739023.83109606,278.77494067,1.69571439,0.00633579,,,0.62123098,0.19940821,,,,,,,0.37811434,0.04064015
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.25000000,0.02647127,0.28898167,0.02635635,0.28898772,84144.06510339,44000.00000000,40144.06510339,0.91236512,0.17737540,0.18671163,0.80965684,0.23794742,1.12718271,0.79065796,-0.22433898,167,2023,0.41443021,2022,-0.14140931,829993.68888271,312.17241479,1.78022181,0.00709483,,,0.53968418,0.19938294,,,,,,,0.45962536,0.05285982
