label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ:MOMM1-3-6-12U<=0 off0,0.00112534,0.00359694,0.00067249,0.00173904,74536.01305349,44000.00000000,30536.01305349,0.69400030,0.14350483,0.15139004,0.74638927,0.21045425,1.04037206,0.75258543,-0.19068245,167,2021,0.26458541,2022,-0.07820485,781363.97412424,258.99304548,1.84377311,0.00588621,0.48218449,0.14872668,0.16040404,0.04898819,,,,,0.35623675,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.02987584,0.30414717,0.02947430,0.30415269,75305.34800822,44000.00000000,31305.34800822,0.71148518,0.14865710,0.15437155,0.79129885,0.20203154,1.09975929,0.77960558,-0.19068245,167,2021,0.26458541,2022,-0.07342515,726487.99020725,241.51509979,1.68855556,0.00548898,0.47161649,0.14872668,0.15689751,0.04898819,,,,,0.37032623,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.02375907,0.23271690,0.02335462,0.23272072,77669.49913336,44000.00000000,33669.49913336,0.76521589,0.15837197,0.16335731,0.83176879,0.20250042,1.15835116,0.83055350,-0.19068245,167,2023,0.30827017,2022,-0.07342515,747253.93405474,247.99823279,1.68707785,0.00563632,0.46702175,0.14872668,0.15534206,0.04898819,,,,,0.37647040,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00809279,0.26745497,0.00766398,0.26746294,74550.20147682,44000.00000000,30550.20147682,0.69432276,0.15398417,0.15144529,0.78873568,0.21091172,1.10108647,0.77637820,-0.19833654,474,2021,0.26458541,2020,0.01925133,800245.90118957,265.78591275,1.80776593,0.00604059,0.48748838,0.14872668,0.16217868,0.04898819,,,,,0.34919543,0.00000000
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,,0.00119998,0.00374295,0.00067386,0.00173516,84168.23748714,44000.00000000,40168.23748714,0.91291449,0.18388579,0.18679563,0.90867272,0.21153803,1.27183537,0.81407574,-0.22588289,448,2023,0.49705097,2022,-0.13039694,818437.67640098,307.04040505,1.76569372,0.00697819,0.29985508,0.09988652,,,0.29968791,0.09942933,,,0.39920372,0.13875850
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,QQQ<SMA200,0.02272430,0.23306855,0.02231692,0.23307415,83801.85748202,44000.00000000,39801.85748202,0.90458767,0.18491311,0.18552007,0.91985571,0.20944300,1.28053428,0.88489974,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70301649,0.00678815,0.31076659,0.09980015,,,0.31061452,0.09942933,,,0.37748399,0.04020374
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,QQQ:MOMM1-3-6-12U<=0,0.02442046,0.28377564,0.02398618,0.28378189,77762.70567815,44000.00000000,33762.70567815,0.76733422,0.15840638,0.16370628,0.81660008,0.20758176,1.13014907,0.75831211,-0.20889338,439,2021,0.29551315,2022,-0.11225843,728789.70239872,275.30151450,1.69529498,0.00625685,0.31155324,0.09977911,,,0.31133178,0.09942933,,,0.37584889,0.05774341
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,QQQ:MOMM1-3-6-12U<=0 off0,0.00120640,0.00374295,0.00071860,0.00173516,78794.51072660,44000.00000000,34794.51072660,0.79078433,0.16398600,0.16754331,0.82203946,0.21365185,1.13821957,0.89454932,-0.18331689,439,2021,0.29551315,2022,-0.05284385,803345.98863224,303.18381952,1.83962004,0.00689054,0.32137617,0.09983944,,,0.32117995,0.09942933,,,0.35618104,0.00000000
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.03033684,0.30539188,0.02989542,0.30539769,79925.38201479,44000.00000000,35925.38201479,0.81648595,0.17002503,0.17169494,0.86400766,0.20788564,1.19683848,0.81378204,-0.20893190,448,2021,0.29551315,2022,-0.04669946,748711.74355419,283.27884270,1.68576333,0.00643816,0.31455409,0.09978696,,,0.31435846,0.09942933,,,0.36987908,0.04020374
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.02410153,0.23306855,0.02371371,0.23307415,82418.88256917,44000.00000000,38418.88256917,0.87315642,0.17968360,0.18065780,0.90109451,0.20869324,1.25187027,0.85952440,-0.20905003,448,2023,0.34058475,2022,-0.04669946,769533.21672012,290.89250398,1.68409387,0.00661119,0.31149738,0.09978804,,,0.31133715,0.09942933,,,0.37605793,0.04020374
