label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.RPAR.avg,exposure.RPAR.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
RPAR100,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""RPAR"":1.0}",0.00060965,0.00156296,0.00062354,0.00180581,31642.69115683,34000.00000000,-2357.30884317,-0.06933261,-0.03359570,-0.02716882,-0.21035025,0.12561366,-0.29241701,-0.10956266,-0.30663460,,2021,0.07190375,2022,-0.23267865,33969.18864234,20.38151319,0.20360162,0.00059946,,,,,,,,,,,0.99937646,0.99819419,,,,
NTSX50/RPAR50,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":0.5,""RPAR"":0.5}",0.00151013,0.00341351,0.00112111,0.00279180,36991.35622261,34000.00000000,2991.35622261,0.08798107,0.02013733,0.03219817,0.21681895,0.13323547,0.30379469,0.06637404,-0.30339172,,2021,0.14405743,2022,-0.24527031,34602.49324883,20.76149595,0.19278348,0.00061063,,,,,,,,,0.49893868,0.49720820,0.49953757,0.49876557,,,,
NTSX75/BIL25,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00312102,0.00813600,0.00217296,0.00562690,41757.92909380,34000.00000000,7757.92909380,0.22817439,0.06497062,0.07911761,0.57067286,0.12427929,0.80906439,0.26871473,-0.24178289,814,2023,0.17897926,2022,-0.19494487,37319.99265545,15.21805176,0.19466311,0.00044759,0.24790246,0.24437310,,,,,,,0.74896641,0.74735028,,,,,,
NTSX50/BIL50,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00321181,0.00723230,0.00237702,0.00608930,40183.73350339,34000.00000000,6183.73350339,0.18187451,0.05295114,0.06415727,0.66805271,0.08265596,0.95098006,0.32216710,-0.16435924,763,2023,0.13329813,2022,-0.12782514,39249.68834950,11.90325435,0.20682288,0.00035010,0.49774778,0.49391070,,,,,,,0.49903283,0.49722731,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,,,0.47538661,0.14979190,,,0.15803366,0.04996647,,,,,,,0.36538681,0.04055417
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02966490,0.23271690,0.02919009,0.23272072,54173.70335162,34000.00000000,20173.70335162,0.59334422,0.17174632,0.18272041,0.87226792,0.20713597,1.22446448,0.90069288,-0.19068245,167,2023,0.34071490,2022,-0.07342515,398073.45986378,132.13265634,1.69737536,0.00388625,,,0.47527594,0.14872668,0.15805029,0.04898819,,,,,,,,,0.36532271,0.04055717
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03026359,0.23306855,0.02978006,0.23307415,55198.38829729,34000.00000000,21198.38829729,0.62348201,0.18941448,0.19034051,0.93020451,0.21135449,1.29913187,1.14933002,-0.16480425,,2023,0.37454047,2022,-0.04669946,412218.49716053,156.25714349,1.68919274,0.00459580,,,0.31710843,0.09988652,,,0.31691690,0.09942933,,,,,,,0.36467502,0.04020374
SPY benchmark,fit,fit,2020-12-18,2024-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00885396,0.02938556,0.00885542,0.02941953,49363.59276674,34000.00000000,15363.59276674,0.45187038,0.13405134,0.14524092,0.85649732,0.16299656,1.22777682,0.54819872,-0.24453056,709,2021,0.28166993,2022,-0.18247338,33760.58665248,2.36324107,0.15811837,0.00006951,,,,,,,,,,,,,0.99114458,0.97058047,,
NTSX100,test,test,2025-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00180550,0.00428444,0.00182947,0.00458307,23884.61435878,19500.00000000,4384.61435878,0.22485202,0.17216485,0.17452245,1.02800088,0.16979580,1.47610510,1.02840261,-0.16740997,125,2025,0.18311990,2026,0.09675800,19481.14251858,11.68868551,0.35859908,0.00059942,,,,,,,,,0.99817053,0.99541693,,,,,,
RPAR100,test,test,2025-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""RPAR"":1.0}",0.00065454,0.00145846,0.00067846,0.00175793,22866.72586773,19500.00000000,3366.72586773,0.17265261,0.14448711,0.13514694,1.27566429,0.11153590,1.84258229,1.78411054,-0.08098551,,2025,0.16982448,2026,0.06659508,19486.82930040,11.69209758,0.35881328,0.00059959,,,,,,,,,,,0.99932154,0.99824207,,,,
