label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.00449807,0.06819676,0.00375507,0.06820190,33609.95874024,25500.00000000,8109.95874024,0.31803760,0.16707570,0.15721691,0.83680148,0.21303946,1.13443546,0.91868785,-0.18186341,447,2024,0.20960873,2026,0.04959936,216484.57615637,72.04682679,1.92268262,0.00282537,0.42765935,0.14948330,0.14208554,0.04919289,,,0.42848494,0.19602462
SPY benchmark,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01496400,0.03278446,0.01496591,0.03278600,36178.73062717,25500.00000000,10678.73062717,0.41877375,0.20671575,0.20161381,1.29515663,0.15519606,1.93260825,1.11662343,-0.18512575,127,2024,0.24737230,2026,0.12210687,25224.78616047,1.76573503,0.21641169,0.00006924,,,,,0.98503409,0.96721400,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00122816,0.00314094,0.00066566,0.00184310,39160.16979201,28000.00000000,11160.16979201,0.39857749,0.19963241,0.17347630,0.87009028,0.24304257,1.19526169,0.99330402,-0.20097816,324,2019,0.27963594,2022,-0.10616629,250500.28230987,82.55262019,1.62891513,0.00294831,0.45018976,0.14955055,0.14976324,0.04900583,,,0.39877370,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.00595137,0.09554470,0.00546653,0.09554987,40865.47858697,28000.00000000,12865.47858697,0.45948138,0.21688680,0.19662798,0.93188639,0.24195431,1.28153647,1.07833624,-0.20113095,324,2019,0.27963594,2022,-0.06626366,243400.47768126,81.01983135,1.58166081,0.00289357,0.45386924,0.14955055,0.15090949,0.04900583,,,0.39397178,0.09735839
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.00703023,0.09538061,0.00658093,0.09538581,40657.65356146,28000.00000000,12657.65356146,0.45205906,0.21249177,0.19384478,0.91816041,0.24151953,1.26180791,1.05646345,-0.20113499,324,2019,0.26608073,2022,-0.06620643,243062.22908027,81.03009995,1.58946359,0.00289393,0.45475632,0.14942904,0.15127229,0.04935799,,,0.39277921,0.09749716
SPY benchmark,sens,sens_2019-05-08,2019-05-08,2022-05-06,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00745957,0.02233304,0.00746133,0.02233388,36230.36517888,28000.00000000,8230.36517888,0.29394161,0.14156505,0.13191091,0.69417514,0.22823110,0.95113431,0.42047588,-0.33667817,173,2021,0.28241522,2022,-0.13085030,27811.66193986,1.94681634,0.19293450,0.00006953,,,,,0.99253867,0.97766612,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00129616,0.00268237,0.00073371,0.00164922,33685.52991928,28000.00000000,5685.52991928,0.20305464,0.13301193,0.09339004,0.65153717,0.23434724,0.89640443,0.66085706,-0.20127186,324,2021,0.26502655,2022,-0.14454738,207231.69741364,67.25180693,1.43895031,0.00240185,0.47304287,0.14835078,0.15739142,0.04939081,,,0.36822842,0.09922242
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.02851041,0.17530322,0.02805367,0.17530807,36702.60615680,28000.00000000,8702.60615680,0.31080736,0.16765223,0.13825216,0.78287199,0.23326080,1.07899174,0.83407144,-0.20100464,323,2021,0.26532056,2022,-0.06269847,182676.73170737,60.54972733,1.25335746,0.00216249,0.49370351,0.14835078,0.16428926,0.04939081,,,0.34080616,0.05208582
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.02851041,0.17530322,0.02805367,0.17530807,36702.60615680,28000.00000000,8702.60615680,0.31080736,0.16765223,0.13825216,0.78287199,0.23326080,1.07899174,0.83407144,-0.20100464,323,2021,0.26532056,2022,-0.06269847,182676.73170737,60.54972733,1.25335746,0.00216249,0.49370351,0.14835078,0.16428926,0.04939081,,,0.34080616,0.05208582
SPY benchmark,sens,sens_2019-11-08,2019-11-08,2022-11-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00782068,0.02411709,0.00782245,0.02411803,31764.35636912,28000.00000000,3764.35636912,0.13444130,0.08774013,0.06324795,0.46805513,0.24389545,0.64226145,0.26047342,-0.33684869,173,2021,0.28303247,2022,-0.18550106,27750.90140242,1.94256310,0.19979586,0.00006938,,,,,0.99217755,0.97588197,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2020-05-08,2020-05-08,2023-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00139801,0.00298135,0.00078015,0.00188087,35064.60765843,28000.00000000,7064.60765843,0.25230742,0.12548338,0.11445769,0.65646850,0.21619084,0.91461598,0.62530706,-0.20067481,324,2021,0.26471084,2022,-0.15286276,172324.09189874,57.68924448,1.31163845,0.00206033,0.49744552,0.14937551,0.16547840,0.04984507,,,0.33563741,0.13829093
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2020-05-08,2020-05-08,2023-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.03822979,0.23037513,0.03778866,0.23037808,34766.76229051,28000.00000000,6766.76229051,0.24167008,0.12523671,0.10999660,0.65630526,0.21578426,0.91025275,0.62407788,-0.20067481,324,2021,0.26471084,2022,-0.07622002,150898.52348657,51.70212714,1.13118262,0.00184650,0.52532994,0.14937551,0.17473973,0.04984507,,,0.29856647,0.04289981
