label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2022-05-09,2022-05-09,2025-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00173276,0.00434926,0.00088139,0.00196984,38203.94594664,28000.00000000,10203.94594664,0.36442664,0.16255075,0.15979257,0.88434904,0.19206908,1.24235055,0.80714635,-0.20138943,,2023,0.46423480,2022,-0.04893009,258317.14789064,86.62653773,1.75494753,0.00309380,0.47687135,0.16993494,0.15844573,0.05620565,,,0.36290438,0.12890132
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-05-09,2022-05-09,2025-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.05291684,0.27327024,0.05257045,0.27327789,37353.79799073,28000.00000000,9353.79799073,0.33406421,0.14979227,0.14778250,0.80112932,0.20017108,1.11634754,0.81865603,-0.18297339,,2023,0.31894566,2025,-0.04674433,241629.41447872,82.14148490,1.67757107,0.00293362,0.51606895,0.16956576,0.17161923,0.05582509,,,0.31105038,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2022-05-09,2022-05-09,2025-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.05291684,0.27327024,0.05257045,0.27327789,37353.79799073,28000.00000000,9353.79799073,0.33406421,0.14979227,0.14778250,0.80112932,0.20017108,1.11634754,0.81865603,-0.18297339,,2023,0.31894566,2025,-0.04674433,241629.41447872,82.14148490,1.67757107,0.00293362,0.51606895,0.16956576,0.17161923,0.05582509,,,0.31105038,0.00000000
SPY benchmark,sens,sens_2022-05-09,2022-05-09,2025-05-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01061994,0.02302524,0.01062173,0.02302650,37035.45143388,28000.00000000,9035.45143388,0.32269469,0.13862329,0.14323348,0.80903676,0.18149495,1.19576644,0.74273478,-0.18663902,,2023,0.25707882,2025,-0.03312459,27836.47740957,1.94855342,0.20201069,0.00006959,,,,,0.98937827,0.97697350,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2022-11-08,2022-11-08,2025-11-07,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00137256,0.00332580,0.00075704,0.00235284,46611.75831251,28000.00000000,18611.75831251,0.66470565,0.27845801,0.26909317,1.27522845,0.21118801,1.79993599,1.38442349,-0.20113644,439,2023,0.46328645,2022,0.00263408,339943.81480957,113.03254272,2.14177668,0.00403688,0.43052857,0.14974485,0.14314473,0.04975660,,,0.42489856,0.17804598
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-11-08,2022-11-08,2025-11-07,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.02194664,0.27326761,0.02145176,0.27327789,43978.91767061,28000.00000000,15978.91767061,0.57067563,0.22731946,0.23651749,1.08219250,0.21087873,1.50602466,1.24447104,-0.18266352,447,2023,0.31950063,2022,-0.01281589,313252.20021893,104.91404617,2.11506799,0.00374693,0.44621240,0.14972803,0.14828843,0.04955080,,,0.40412212,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2022-11-08,2022-11-08,2025-11-07,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.02194664,0.27326761,0.02145176,0.27327789,43978.91767061,28000.00000000,15978.91767061,0.57067563,0.22731946,0.23651749,1.08219250,0.21087873,1.50602466,1.24447104,-0.18266352,447,2023,0.31950063,2022,-0.01281589,313252.20021893,104.91404617,2.11506799,0.00374693,0.44621240,0.14972803,0.14828843,0.04955080,,,0.40412212,0.00000000
SPY benchmark,sens,sens_2022-11-08,2022-11-08,2025-11-07,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01068482,0.03181567,0.01068654,0.03181683,42460.07920415,28000.00000000,14460.07920415,0.51643140,0.21920153,0.21707581,1.33538123,0.15849677,2.03910264,1.17039562,-0.18728841,127,2023,0.25638413,2022,0.00562019,27534.78829670,1.92743518,0.18585569,0.00006884,,,,,0.98931346,0.96818317,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2023-05-08,2023-05-08,2026-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00154792,0.00338359,0.00087373,0.00189445,41434.88022796,28000.00000000,13434.88022796,0.47981715,0.22329345,0.20365373,1.05435034,0.21382567,1.46476549,1.11068273,-0.20104162,439,2023,0.27776667,2026,0.01780395,315437.70816857,104.52426417,2.08137526,0.00373301,0.41374571,0.14991009,0.13750286,0.04993342,,,0.44714621,0.21316138
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-05-08,2023-05-08,2026-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.00371351,0.06549263,0.00306440,0.06549535,41322.58825549,28000.00000000,13322.58825549,0.47580672,0.22197522,0.20217038,1.05973415,0.21118903,1.47007102,1.21458744,-0.18275771,447,2023,0.27776667,2026,0.01803166,311062.10955224,103.01113990,2.05494575,0.00367897,0.41543053,0.14956103,0.13800075,0.04934664,,,0.44497390,0.20015823
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2023-05-08,2023-05-08,2026-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.00371351,0.06549263,0.00306440,0.06549535,41322.58825549,28000.00000000,13322.58825549,0.47580672,0.22197522,0.20217038,1.05973415,0.21118903,1.47007102,1.21458744,-0.18275771,447,2023,0.27776667,2026,0.01803166,311062.10955224,103.01113990,2.05494575,0.00367897,0.41543053,0.14956103,0.13800075,0.04934664,,,0.44497390,0.20015823
SPY benchmark,sens,sens_2023-05-08,2023-05-08,2026-05-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01124715,0.03170543,0.01124887,0.03170656,42828.10461967,28000.00000000,14828.10461967,0.52957516,0.22517184,0.22181839,1.43423160,0.15004196,2.15604244,1.20486796,-0.18688508,127,2024,0.24339668,2026,0.08405986,27881.84694163,1.95172929,0.18867921,0.00006970,,,,,0.98875113,0.96829344,,
