label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.assets,params.filter,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.EFA.avg,exposure.EFA.min,exposure.SPY.avg,exposure.SPY.min,exposure.VEU.avg,exposure.VEU.min
ROT SPY top1 12M@SPY>BIL fb AGG,sens,sens_2010-07-01,2010-07-01,2015-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00204529,0.00682259,0.00204921,0.00685735,63455.48133422,40000.00000000,23455.48133422,0.58638703,0.16130940,0.15078784,1.08958834,0.14748793,1.55894196,0.86346241,-0.18681693,280,2013,0.31860426,2011,0.01568049,140064.93829595,11.32315077,0.40591511,0.00028308,0.01636160,0.00000000,,,0.98158919,0.00000000,,
ROT SPY+VEU top1 12M all fb AGG,sens,sens_2010-07-01,2010-07-01,2015-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00204779,0.00682259,0.00205775,0.00685735,63316.46065670,40000.00000000,23316.46065670,0.58291152,0.16020647,0.15006010,1.05068872,0.15280606,1.49119976,0.79556725,-0.20137388,304,2013,0.28433795,2011,-0.00266003,239408.31351061,29.98215100,0.69516510,0.00074955,0.00000000,0.00000000,,,0.93243501,0.00000000,0.06550724,0.00000000
SPY benchmark,sens,sens_2010-07-01,2010-07-01,2015-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00204017,0.00682259,0.00204135,0.00685735,65108.33596452,40000.00000000,25108.33596452,0.62770840,0.17059897,0.15932978,1.12878939,0.14973503,1.61579190,0.91318791,-0.18681693,280,2013,0.31845403,2011,0.01568049,39969.82437388,2.79788771,0.11311259,0.00006995,,,,,0.99795865,0.99314265,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00246200,0.00822987,0.00247771,0.00823116,50239.34838030,39500.00000000,10739.34838030,0.27188224,0.08176599,0.07723330,0.59107091,0.15288724,0.81921029,0.40598544,-0.20140127,304,2013,0.28428389,2015,-0.06952085,457899.00343665,45.88499583,1.47764814,0.00116165,0.03328561,0.00000000,,,0.89766812,0.00000000,0.06656855,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00246200,0.00822987,0.00247771,0.00823116,50239.34838030,39500.00000000,10739.34838030,0.27188224,0.08176599,0.07723330,0.59107091,0.15288724,0.81921029,0.40598544,-0.20140127,304,2013,0.28428389,2015,-0.06952085,457899.00343665,45.88499583,1.47764814,0.00116165,0.03328561,0.00000000,,,0.89766812,0.00000000,0.06656855,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00229477,0.00822987,0.00231273,0.00823116,47128.66212781,39500.00000000,7628.66212781,0.19313069,0.06239385,0.05659701,0.46788668,0.15528451,0.64178827,0.30920753,-0.20178632,301,2013,0.16572283,2015,-0.06949030,675067.30641323,56.95144009,2.29430865,0.00144181,0.03329482,0.00000000,0.13316284,0.00000000,0.83122961,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00229477,0.00822987,0.00231273,0.00823116,47128.66212781,39500.00000000,7628.66212781,0.19313069,0.06239385,0.05659701,0.46788668,0.15528451,0.64178827,0.30920753,-0.20178632,301,2013,0.16572283,2015,-0.06949030,675067.30641323,56.95144009,2.29430865,0.00144181,0.03329482,0.00000000,0.13316284,0.00000000,0.83122961,0.00000000,,
SPY60/AGG40,sens,sens_2011-01-03,2011-01-03,2015-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00386578,0.00971592,0.00270761,0.00744124,50642.17282102,39500.00000000,11142.17282102,0.28208032,0.08304808,0.07981807,0.95368251,0.08775769,1.35133617,0.84089774,-0.09876122,174,2013,0.17098174,2015,0.00845296,44078.91351798,3.74745193,0.14699208,0.00009487,0.39850776,0.39459282,,,0.59762485,0.59255876,,
EW SPY/VEU/AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00504299,0.01379091,0.00294036,0.00672434,45938.10329165,39500.00000000,6438.10329165,0.16298996,0.05199861,0.04836037,0.52879777,0.10670783,0.73509501,0.36048375,-0.14424677,332,2013,0.13673869,2011,-0.02452142,45868.52459441,5.89400877,0.16169501,0.00014922,0.33151595,0.32683961,,,0.33087360,0.32660899,0.33256487,0.33110532
ROT SPY top1 12M@SPY>BIL fb AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00223371,0.00822987,0.00224055,0.00823116,51462.78728257,39500.00000000,11962.78728257,0.30285537,0.09181342,0.08502508,0.66155311,0.14989624,0.92393073,0.49216468,-0.18655020,280,2013,0.31867287,2015,-0.06961111,318923.58652397,26.54968800,1.00346614,0.00067214,0.03329295,0.00000000,,,0.96446651,0.00000000,,
ROT SPY+VEU top1 12M all fb AGG,sens,sens_2011-01-03,2011-01-03,2015-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00249993,0.00822987,0.00251007,0.00823116,55598.71612640,39500.00000000,16098.71612640,0.40756243,0.10830569,0.11015266,0.73787323,0.15600054,1.02951186,0.53776069,-0.20140127,304,2013,0.28434673,2011,-0.01342319,187718.17407676,23.05233819,0.58841392,0.00058360,0.00000000,0.00000000,,,0.93092061,0.00000000,0.06656931,0.00000000
SPY benchmark,sens,sens_2011-01-03,2011-01-03,2015-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00228113,0.00822987,0.00228239,0.00823116,56985.04363866,39500.00000000,17485.04363866,0.44265933,0.11863981,0.11819028,0.80974743,0.15306157,1.13851370,0.63596722,-0.18655020,280,2013,0.31863670,2011,0.00590187,39479.52009606,2.76356641,0.12062903,0.00006996,,,,,0.99771761,0.99176884,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00273687,0.00886123,0.00275385,0.00886284,48517.86758155,40000.00000000,8517.86758155,0.21294669,0.07059415,0.06254876,0.52758373,0.15131944,0.73126367,0.37661871,-0.18744196,,2013,0.28408713,2015,-0.06966676,556471.86592253,53.09572201,1.81878119,0.00132739,0.06549420,0.00000000,,,0.89902699,0.00000000,0.03272496,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00273687,0.00886123,0.00275385,0.00886284,48517.86758155,40000.00000000,8517.86758155,0.21294669,0.07059415,0.06254876,0.52758373,0.15131944,0.73126367,0.37661871,-0.18744196,,2013,0.28408713,2015,-0.06966676,556471.86592253,53.09572201,1.81878119,0.00132739,0.06549420,0.00000000,,,0.89902699,0.00000000,0.03272496,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00271114,0.00850661,0.00273039,0.00850822,45786.16591995,40000.00000000,5786.16591995,0.14465415,0.05010976,0.04371403,0.39661264,0.15320331,0.54448726,0.26743772,-0.18736984,,2013,0.16611423,2015,-0.06980214,732250.19907048,62.08127400,2.53282189,0.00155203,0.06539559,0.00000000,0.09822953,0.00000000,0.83364449,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00271114,0.00850661,0.00273039,0.00850822,45786.16591995,40000.00000000,5786.16591995,0.14465415,0.05010976,0.04371403,0.39661264,0.15320331,0.54448726,0.26743772,-0.18736984,,2013,0.16611423,2015,-0.06980214,732250.19907048,62.08127400,2.53282189,0.00155203,0.06539559,0.00000000,0.09822953,0.00000000,0.83364449,0.00000000,,
SPY60/AGG40,sens,sens_2011-07-01,2011-07-01,2016-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00430239,0.01384009,0.00294521,0.00917420,51356.12501235,40000.00000000,11356.12501235,0.28390313,0.08267188,0.08108574,0.93397507,0.08952360,1.32637336,0.84076178,-0.09832974,173,2013,0.17091935,2011,-0.01047890,45424.16809224,3.82697001,0.15234713,0.00009567,0.39825927,0.39476242,,,0.59743673,0.59082580,,
EW SPY/VEU/AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00527352,0.01390664,0.00316387,0.00775082,46620.05779257,40000.00000000,6620.05779257,0.16550144,0.04970467,0.04957410,0.49954171,0.10927926,0.69329503,0.36550196,-0.13599016,232,2013,0.13705914,2011,-0.06507121,46462.64181276,5.99013595,0.16541748,0.00014975,0.33151034,0.32763119,,,0.33052472,0.32558251,0.33268884,0.33028892
ROT SPY top1 12M@SPY>BIL fb AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00268841,0.00885469,0.00269788,0.00885630,49257.74751639,40000.00000000,9257.74751639,0.23144369,0.07636904,0.06747748,0.56573238,0.15039734,0.78696083,0.40774125,-0.18729780,,2013,0.31854777,2015,-0.06960247,463233.20603910,38.83958576,1.48962983,0.00097099,0.06550853,0.00000000,,,0.93179359,0.00000000,,
ROT SPY+VEU top1 12M all fb AGG,sens,sens_2011-07-01,2011-07-01,2016-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00265458,0.00886123,0.00266333,0.00886284,55682.48245848,40000.00000000,15682.48245848,0.39206206,0.10720490,0.10757126,0.72920758,0.15687085,1.02181283,0.61382504,-0.17465058,216,2013,0.28429736,2011,-0.05374023,141762.90297678,17.91981762,0.44347061,0.00044800,0.00000000,0.00000000,,,0.96459850,0.00000000,0.03273816,0.00000000
SPY benchmark,sens,sens_2011-07-01,2011-07-01,2016-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00309260,0.00885469,0.00309385,0.00885630,56536.39117869,40000.00000000,16536.39117869,0.41340978,0.11306407,0.11257106,0.76649251,0.15595282,1.07783285,0.61613715,-0.18350471,211,2013,0.31807738,2011,-0.05386979,39890.82868037,2.79235801,0.12279958,0.00006981,,,,,0.99690615,0.99114370,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,sens,sens_2012-01-03,2012-01-03,2016-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00278615,0.00887397,0.00280012,0.00887535,50440.73611082,39500.00000000,10940.73611082,0.27698066,0.09495144,0.07854485,0.81233552,0.12073079,1.15098275,0.50664512,-0.18741212,,2013,0.28410651,2015,-0.06974947,482019.80847405,43.90361598,1.55784405,0.00111148,0.06651072,0.00000000,,,0.91403514,0.00000000,0.01665403,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,sens,sens_2012-01-03,2012-01-03,2016-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00278615,0.00887397,0.00280012,0.00887535,50440.73611082,39500.00000000,10940.73611082,0.27698066,0.09495144,0.07854485,0.81233552,0.12073079,1.15098275,0.50664512,-0.18741212,,2013,0.28410651,2015,-0.06974947,482019.80847405,43.90361598,1.55784405,0.00111148,0.06651072,0.00000000,,,0.91403514,0.00000000,0.01665403,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,sens,sens_2012-01-03,2012-01-03,2016-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00254141,0.00887397,0.00255930,0.00887535,47900.48192065,39500.00000000,8400.48192065,0.21267043,0.07400234,0.06184677,0.64339462,0.12277222,0.89716688,0.39550307,-0.18710939,,2013,0.16574073,2015,-0.06955508,634602.94543247,53.48997930,2.17043042,0.00135418,0.06649696,0.00000000,0.08324216,0.00000000,0.84770157,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,sens,sens_2012-01-03,2012-01-03,2016-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00254141,0.00887397,0.00255930,0.00887535,47900.48192065,39500.00000000,8400.48192065,0.21267043,0.07400234,0.06184677,0.64339462,0.12277222,0.89716688,0.39550307,-0.18710939,,2013,0.16574073,2015,-0.06955508,634602.94543247,53.48997930,2.17043042,0.00135418,0.06649696,0.00000000,0.08324216,0.00000000,0.84770157,0.00000000,,
