label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
NTSX62.5/BIL37.5,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.375,""NTSX"":0.625}",0.00246951,0.00802589,0.00187379,0.00631529,45226.34535139,37500.00000000,7726.34535139,0.20603588,0.07286362,0.06398654,0.62596415,0.12488303,0.86489519,0.35738635,-0.20387913,,2023,0.15613494,2022,-0.16179196,49540.37373152,16.86651514,0.19535471,0.00044977,0.37319077,0.36868471,,,,,0.62433167,0.62265716,,,,
NTSX50/BIL50,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00245502,0.00720966,0.00189680,0.00636424,44119.77688786,37500.00000000,6619.77688786,0.17652738,0.06199271,0.05546901,0.65430888,0.09953463,0.90424696,0.37652470,-0.16464447,,2023,0.13333805,2022,-0.12801526,50236.06519344,15.42501303,0.20279492,0.00041133,0.49819114,0.49363576,,,,,0.49934672,0.49799329,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02487979,0.22732631,0.02451730,0.22732793,66248.64827218,37500.00000000,28748.64827218,0.76663062,0.20584351,0.19791480,0.98345522,0.21374816,1.37183905,1.02343031,-0.20113095,324,2023,0.34360488,2022,-0.07938807,373691.43624708,123.99541088,1.19625317,0.00330654,,,0.48884935,0.14955055,0.16263318,0.04900583,,,,,0.34750563,0.04594996
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02518668,0.22449933,0.02465536,0.22450007,65731.67200301,37500.00000000,28231.67200301,0.75284459,0.20055794,0.19510965,0.99455776,0.20511634,1.38218252,1.03361437,-0.19403556,141,2023,0.40622711,2022,-0.14708557,374968.56811180,87.58854172,1.21893169,0.00233569,0.32410489,0.09545737,0.32532635,0.09979470,,,,,,,0.34833569,0.04877782
TQQQ50/BTAL50 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.05850655,0.37517449,0.05838111,0.37517809,68406.38172327,37500.00000000,30906.38172327,0.82417018,0.22176896,0.20941858,0.83759832,0.28975550,1.16946953,0.58800358,-0.37715580,138,2023,0.48054807,2022,-0.27720877,152230.27494983,59.51207376,0.46190224,0.00158699,,,0.55766452,0.49887832,,,,,,,0.44174916,0.12482191
SPY benchmark,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00676955,0.02233304,0.00677086,0.02233388,54024.61404681,37500.00000000,16524.61404681,0.44065637,0.12947835,0.12568830,0.67683690,0.21391828,0.94253127,0.38457602,-0.33667817,173,2021,0.28241522,2022,-0.18161772,37259.17984794,2.60814259,0.13190475,0.00006955,,,,,,,,,0.99322914,0.97766612,,
NTSX100,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00132729,0.00315688,0.00134403,0.00336170,34958.41707420,25500.00000000,9458.41707420,0.37091832,0.18652862,0.18079448,1.18690545,0.15509540,1.70822412,1.10358041,-0.16902132,200,2024,0.20840541,2026,0.09679277,25474.73922643,15.28484354,0.22212808,0.00059941,,,,,,,0.99865597,0.99663830,,,,
NTSX75/BIL25,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00313055,0.00665157,0.00211232,0.00510710,32888.41837904,25500.00000000,7388.41837904,0.28974190,0.14895818,0.14434033,1.26616324,0.11559583,1.82348409,1.18124439,-0.12610276,125,2024,0.16649052,2026,0.07839300,26091.54619828,11.18817948,0.23659794,0.00043875,0.24809525,0.24489290,,,,,0.74876159,0.74727906,,,,
NTSX62.5/BIL37.5,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.375,""NTSX"":0.625}",0.00404881,0.01088378,0.00280185,0.00727914,31881.01788715,25500.00000000,6381.01788715,0.25023600,0.13009402,0.12604190,1.32831121,0.09609414,1.91554403,1.23677808,-0.10518784,113,2024,0.14547087,2026,0.06891866,26493.97963089,9.53866974,0.24508189,0.00037407,0.37239836,0.36772086,,,,,0.62354208,0.62138839,,,,
NTSX50/BIL50,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00327863,0.00759500,0.00235573,0.00604304,30904.04487079,25500.00000000,5404.04487079,0.21192333,0.11147470,0.10792187,1.42522929,0.07665411,2.06114391,1.33186794,-0.08369801,111,2024,0.12503687,2026,0.05934401,26522.37856704,7.85842201,0.25023819,0.00030817,0.49780104,0.49395696,,,,,0.49891146,0.49744410,,,,
