label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.25000000,0.60000000,,0.00031007,0.00194466,0.00045937,0.00254216,551883.45462765,97500.00000000,454383.45462765,4.66034312,0.20763718,0.19450661,0.93604227,0.23064312,1.30121223,0.70258385,-0.29553366,565,2013,0.58344905,2022,-0.25763029,7130996.04624200,14261.99209248,1.25108640,0.14627684,0.50952253,0.39829388,,,0.48997454,0.13519485
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.25000000,0.60000000,QQQ<SMA200,0.01502493,0.28001652,0.01516857,0.28001849,504213.80390753,97500.00000000,406713.80390753,4.17142363,0.19759138,0.18489251,0.91010419,0.22712805,1.26141447,0.76308153,-0.25893875,355,2013,0.58349986,2022,-0.17239650,6228398.33559250,12456.79667119,1.17117528,0.12776202,0.52423358,0.39829388,,,0.47526241,0.06469505
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.25000000,0.70000000,,0.00035584,0.00158044,0.00057341,0.00185561,586958.22900148,97500.00000000,489458.22900148,5.02008440,0.21443212,0.20105471,0.89766899,0.25279989,1.24304659,0.71024099,-0.30191459,606,2013,0.64278872,2022,-0.25767156,9593376.64077400,19186.75328155,1.63875007,0.19678721,0.47004491,0.29837198,,,0.52933469,0.13515770
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.25000000,0.70000000,QQQ<SMA200,0.01543019,0.27997182,0.01564183,0.27997374,536513.11180462,97500.00000000,439013.11180462,4.50269858,0.20430105,0.19150246,0.87304140,0.24930173,1.20592026,0.77301397,-0.26429153,578,2013,0.64283304,2022,-0.17242187,8518780.44008550,17037.56088017,1.55892832,0.17474421,0.48513072,0.29837198,,,0.51425569,0.06473979
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.25000000,0.80000000,,0.00043664,0.00165853,0.00072160,0.00227147,616410.23824920,97500.00000000,518910.23824920,5.32215629,0.21985854,0.20625316,0.87096650,0.27131143,1.20464316,0.72628129,-0.30271817,606,2017,0.73154437,2022,-0.25766433,12105054.27031550,24210.10854063,2.01294059,0.24830881,0.44004271,0.19888287,,,0.55917879,0.13513825
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.25000000,0.80000000,QQQ<SMA200,0.01549151,0.27991472,0.01577131,0.27991659,563416.35149002,97500.00000000,465916.35149002,4.77862925,0.20970053,0.19670529,0.84699142,0.26805126,1.16893060,0.71098736,-0.29494270,578,2017,0.73149206,2022,-0.17251091,10843350.22163600,21686.70044327,1.93181463,0.22242770,0.45513264,0.19888287,,,0.54410494,0.06479694
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.30000000,0.60000000,,0.00025965,0.00206831,0.00037931,0.00261424,750689.67591557,97500.00000000,653189.67591557,6.69938129,0.23914416,0.22715150,0.98546308,0.25004953,1.37570030,0.68251736,-0.35038546,562,2023,0.60577857,2022,-0.31363325,7286644.89155450,14573.28978311,1.03546990,0.14946964,0.47355292,0.39903966,,,0.52603650,0.16223037
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.30000000,0.60000000,QQQ<SMA200,0.01749098,0.33244353,0.01760071,0.33244522,673276.02950471,97500.00000000,575776.02950471,5.90539517,0.22719845,0.21561478,0.96646579,0.24315529,1.34377591,0.81550887,-0.27859715,561,2013,0.60172315,2022,-0.21510561,6057677.71875950,12115.35543752,0.93896506,0.12426006,0.49077670,0.39893633,,,0.50881675,0.08121102
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.30000000,0.70000000,,0.00031787,0.00129564,0.00050021,0.00177998,829669.54880503,97500.00000000,732169.54880503,7.50943127,0.25177021,0.23775056,0.94701917,0.27916280,1.31546829,0.67193449,-0.37469457,731,2013,0.74817173,2022,-0.33350894,10719798.02350650,21439.59604701,1.43515464,0.21989329,0.42073131,0.29883475,,,0.57873413,0.16223567
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.30000000,0.70000000,QQQ<SMA200,0.01739366,0.33232376,0.01756534,0.33232536,752010.59609482,97500.00000000,654510.59609482,6.71292919,0.24078485,0.22733779,0.92974674,0.27301698,1.28738799,0.78783073,-0.30563018,731,2013,0.74817230,2022,-0.23791530,9279130.08107750,18558.26016215,1.34284499,0.19034113,0.43783311,0.29883475,,,0.56165073,0.08133088
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.30000000,0.80000000,,0.00040193,0.00167001,0.00065088,0.00233321,891997.68920067,97500.00000000,794497.68920067,8.14869425,0.26008169,0.24542518,0.91744936,0.30308368,1.27054291,0.68210645,-0.38129194,752,2013,0.83679316,2022,-0.33351232,14110958.04708550,28221.91609417,1.82087609,0.28945555,0.37856453,0.19838165,,,0.62074705,0.16225493
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.30000000,0.80000000,QQQ<SMA200,0.01792141,0.33226608,0.01816183,0.33226769,808487.45777362,97500.00000000,710987.45777362,7.29217905,0.24893691,0.23501053,0.89993794,0.29707855,1.24283985,0.77047574,-0.32309507,578,2013,0.83676026,2022,-0.23793699,12389948.60578300,24779.89721157,1.72840882,0.25415279,0.39611984,0.19838165,,,0.60321478,0.08138855
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.35000000,0.60000000,,0.00024819,0.00163684,0.00035326,0.00215205,933113.88252920,97500.00000000,835613.88252920,8.57039880,0.26145034,0.25020039,1.01268616,0.26473564,1.42126179,0.66038119,-0.39590821,567,2023,0.74152390,2022,-0.35981098,6696000.07841600,13392.00015683,0.82555398,0.13735385,0.44997046,0.39846931,,,0.54965225,0.18924291
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.35000000,0.60000000,QQQ<SMA200,0.01950240,0.38350959,0.01959208,0.38351118,841299.25930294,97500.00000000,743799.25930294,7.62871035,0.24997074,0.23922533,1.00828054,0.25405563,1.40923210,0.80977270,-0.30869248,535,2013,0.61806710,2022,-0.24794725,5354944.49905700,10709.88899811,0.71760884,0.10984502,0.46925360,0.39846931,,,0.53039429,0.09908777
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.35000000,0.70000000,,0.00029067,0.00193686,0.00043802,0.00254788,1120592.56669955,97500.00000000,1023092.56669955,10.49325709,0.28270680,0.26961480,0.98414909,0.29954415,1.37249609,0.66987374,-0.42202998,606,2023,0.77463689,2022,-0.38287615,11125989.75412400,22251.97950825,1.20317523,0.22822543,0.38581891,0.29886899,,,0.61371828,0.18927746
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,20.00000000,0.03000000,0.75000000,0.35000000,0.70000000,QQQ<SMA200,0.01971691,0.38326778,0.01984940,0.38326915,1003950.36100736,97500.00000000,906450.36100736,9.29692678,0.27043880,0.25795619,0.97362738,0.28999636,1.35235126,0.78907220,-0.34273011,605,2013,0.76601255,2022,-0.27525896,9271532.17244600,18543.06434489,1.09765474,0.19018528,0.40529364,0.29886899,,,0.59427860,0.09932980
