label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,params.canary,params.fallback,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.IEF.avg,exposure.IEF.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,best(BIL+IEF),0.00146525,0.00887397,0.00148633,0.00887535,325114.34203370,97500.00000000,227614.34203370,2.33450607,0.12982449,0.13743004,1.19676035,0.10707235,1.69942747,0.96685472,-0.13427507,107,2021,0.28424573,2022,-0.00680651,8691390.06628179,744.42477629,2.61798579,0.00763513,0.24983617,0.00000000,0.09651349,0.00000000,0.65216401,0.00000000
ROT SPY top1 1-3-6-12U can TIP/1 fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,IEF,0.00149089,0.00887397,0.00150916,0.00887535,310005.14150194,97500.00000000,212505.14150194,2.17953991,0.12729767,0.13228343,1.11149575,0.11394918,1.58002907,0.84398158,-0.15082992,780,2021,0.28445270,2022,-0.11518014,8233860.38612286,699.41939059,2.49984972,0.00717353,,,0.34631605,0.00000000,0.65217479,0.00000000
ROT SPY top1 1-3-6-12U fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,best(BIL+IEF),0.00173915,0.00887397,0.00174925,0.00887535,309041.00327147,97500.00000000,211541.00327147,2.16965132,0.12827309,0.13194609,1.01838502,0.12673588,1.42547892,0.61574247,-0.20832263,483,2013,0.31842278,2022,-0.11988975,3723711.24729140,315.41279061,1.21255807,0.00323500,0.06816279,0.00000000,0.05110119,0.00000000,0.87898677,0.00000000
ROT SPY top1 1-3-6-12U fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,IEF,0.00173676,0.00887397,0.00174686,0.00887535,312798.37997832,97500.00000000,215298.37997832,2.20818851,0.12936085,0.13325453,1.00606994,0.12961413,1.41212493,0.60992736,-0.21209222,722,2013,0.31842278,2022,-0.17899928,3731789.18473048,316.09464247,1.20933627,0.00324200,,,0.11924866,0.00000000,0.87900449,0.00000000
ROT SPY top1 13612W can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,best(BIL+IEF),0.00147541,0.00887397,0.00150772,0.00887535,204628.58394818,97500.00000000,107128.58394818,1.09875471,0.09280575,0.08666790,0.94453121,0.09946132,1.31429805,0.69090169,-0.13432555,107,2020,0.24445458,2022,-0.08275395,11872634.02211775,1018.64582096,4.28547495,0.01044765,0.29525298,0.00000000,0.11918588,0.00000000,0.58405341,0.00000000
ROT SPY top1 13612W can TIP/1 fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,IEF,0.00158146,0.00887397,0.00160929,0.00887535,186774.94194160,97500.00000000,89274.94194160,0.91564043,0.08581798,0.07643091,0.82158281,0.10753171,1.14764034,0.37785075,-0.22712137,1135,2020,0.24437080,2022,-0.18321031,10760942.91226891,914.41552023,4.03415194,0.00937862,,,0.41445126,0.00000000,0.58393944,0.00000000
ROT SPY top1 13612W fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,best(BIL+IEF),0.00185972,0.00887397,0.00188036,0.00887535,204916.56091427,97500.00000000,107416.56091427,1.10170832,0.08755757,0.08682489,0.73917230,0.12433180,1.02469544,0.39763777,-0.22019431,1008,2013,0.31842278,2022,-0.17288627,7177048.83260365,609.13657534,2.86547421,0.00624755,0.09653810,0.00000000,0.07380351,0.00000000,0.82777802,0.00000000
ROT SPY top1 13612W fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,IEF,0.00186299,0.00887397,0.00188364,0.00887535,199288.68318931,97500.00000000,101788.68318931,1.04398649,0.08416637,0.08371219,0.69829048,0.12774077,0.96985220,0.29874417,-0.28173393,1016,2013,0.31842278,2022,-0.24201123,6926860.04719462,587.82735980,2.84585714,0.00602900,,,0.17031557,0.00000000,0.82780079,0.00000000
ROT SPY top1 12M can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,best(BIL+IEF),0.00160842,0.00887397,0.00162158,0.00887535,259779.70927467,97500.00000000,162279.70927467,1.66440727,0.10910504,0.11304064,0.83885082,0.13461873,1.17167704,0.32348940,-0.33727548,323,2021,0.28424181,2022,-0.11981202,4088849.95647088,350.21029154,1.46077727,0.00359190,0.24415247,0.00000000,0.07947474,0.00000000,0.67475121,0.00000000
ROT SPY top1 12M can TIP/1 fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,IEF,0.00156441,0.00887397,0.00157645,0.00887535,254794.46497529,97500.00000000,157294.46497529,1.61327656,0.10853889,0.11091753,0.80842978,0.13995725,1.13201929,0.32192965,-0.33715097,323,2021,0.28441031,2022,-0.17890874,3905384.18229124,331.38985121,1.37941566,0.00339887,,,0.32357707,0.00000000,0.67484647,0.00000000
ROT SPY top1 12M fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,,best(BIL+IEF),0.00181656,0.00887397,0.00182338,0.00887535,272110.01948870,97500.00000000,174610.01948870,1.79087199,0.11460716,0.11811009,0.80466199,0.14905482,1.12085384,0.34010554,-0.33697528,323,2013,0.31842278,2022,-0.11997947,1686547.81096847,144.31925981,0.61014987,0.00148020,0.07383510,0.00000000,0.03406322,0.00000000,0.89027830,0.00000000
ROT SPY top1 12M fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,,IEF,0.00177362,0.00887397,0.00177987,0.00887535,264802.65494022,97500.00000000,167302.65494022,1.71592467,0.11225117,0.11513616,0.77910751,0.15173750,1.08726815,0.33248923,-0.33760843,323,2013,0.31842278,2022,-0.17884522,1539435.83140668,129.68588534,0.56539046,0.00133011,,,0.10789474,0.00000000,0.89032538,0.00000000
SPY60/IEF40,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,,0.00291251,0.01405612,0.00222732,0.00787040,214467.96295631,97500.00000000,116967.96295631,1.19967141,0.09277079,0.09189974,0.96877755,0.09664282,1.37786321,0.43398757,-0.21376371,795,2019,0.21411968,2022,-0.16839614,270322.95268702,23.22925720,0.10465660,0.00023825,,,0.39916916,0.39253954,0.59791728,0.59212960
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,0.99834187,0.99112465
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,best(BIL+IEF),0.00162626,0.00887397,0.00164790,0.00887535,176253.02249803,75500.00000000,100753.02249803,1.33447712,0.12256816,0.12984724,1.14100262,0.10642080,1.60583341,0.91281394,-0.13427507,107,2021,0.28424573,2022,-0.00680624,4149085.45546553,358.42328182,2.61951722,0.00474733,0.23465931,0.00000000,0.12868466,0.00000000,0.63500813,0.00000000
ROT SPY top1 1-3-6-12U can TIP/1 fb IEF,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,IEF,0.00167148,0.00887397,0.00168939,0.00887535,167911.69819354,75500.00000000,92411.69819354,1.22399600,0.11969599,0.12265057,1.06436089,0.11227515,1.49713740,0.79358256,-0.15082992,,2021,0.28445270,2022,-0.11517987,3927623.33863785,333.48471876,2.37892345,0.00441702,,,0.36329651,0.00000000,0.63501410,0.00000000
ROT SPY top1 1-3-6-12U fb best(BIL+IEF),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,best(BIL+IEF),0.00186076,0.00887397,0.00187098,0.00887535,144836.90142880,75500.00000000,69336.90142880,0.91836956,0.10708979,0.10059065,0.86011682,0.12795266,1.18655763,0.51405741,-0.20832263,483,2013,0.31842278,2022,-0.11988946,1980957.86575762,167.54004655,1.31281907,0.00221907,0.06816508,0.00000000,0.06813493,0.00000000,0.86182901,0.00000000
ROT SPY top1 1-3-6-12U fb IEF,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,IEF,0.00188015,0.00887397,0.00189037,0.00887535,136444.37747195,75500.00000000,60944.37747195,0.80721030,0.10126160,0.09162558,0.80438722,0.13068624,1.11094779,0.47744136,-0.21209222,,2013,0.31842278,2022,-0.17899897,1995324.22511984,168.75822054,1.31924406,0.00223521,,,0.13628376,0.00000000,0.86182587,0.00000000
ROT SPY top1 13612W can TIP/1 fb best(BIL+IEF),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,best(BIL+IEF),0.00158176,0.00887397,0.00161326,0.00887535,141103.90055905,75500.00000000,65603.90055905,0.86892584,0.10096881,0.09667339,1.03052824,0.09812744,1.43683218,0.75167240,-0.13432555,107,2020,0.24445458,2022,-0.08275364,5795294.00304423,502.10015413,3.82905556,0.00665033,0.28007194,0.00000000,0.14376830,0.00000000,0.57454650,0.00000000
ROT SPY top1 13612W can TIP/1 fb IEF,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,IEF,0.00169712,0.00887397,0.00172265,0.00887535,125715.94555681,75500.00000000,50215.94555681,0.66511186,0.09031764,0.07926305,0.87347900,0.10548455,1.21697707,0.39766245,-0.22712137,,2020,0.24437080,2022,-0.18320997,5153351.90299554,437.78915188,3.41496493,0.00579853,,,0.42385764,0.00000000,0.57441972,0.00000000
ROT SPY top1 13612W fb best(BIL+IEF),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,best(BIL+IEF),0.00208542,0.00887397,0.00210649,0.00887535,115967.67362176,75500.00000000,40467.67362176,0.53599568,0.07573544,0.06699837,0.63951595,0.12689237,0.88022535,0.34394823,-0.22019431,1008,2013,0.31842278,2022,-0.17274551,4310687.95320707,365.69828118,3.22004180,0.00484369,0.09085963,0.00000000,0.08325790,0.00000000,0.82377597,0.00000000
ROT SPY top1 13612W fb IEF,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,IEF,0.00188424,0.00887397,0.00190532,0.00887535,103887.49334588,75500.00000000,28387.49334588,0.37599329,0.06379517,0.05013677,0.54197158,0.12980114,0.74499328,0.22643766,-0.28173393,,2013,0.31842278,2022,-0.24188206,4181812.34621541,354.69076851,3.21035912,0.00469789,,,0.17408167,0.00000000,0.82401301,0.00000000
ROT SPY top1 12M can TIP/1 fb best(BIL+IEF),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,best(BIL+IEF),0.00176012,0.00887397,0.00177444,0.00887535,137369.91432206,75500.00000000,61869.91432206,0.81946906,0.09562119,0.09264278,0.74476799,0.13507979,1.02070993,0.28351064,-0.33727548,323,2021,0.28424181,2022,-0.11981166,2545631.33805230,219.15911420,1.74455774,0.00290277,0.22708279,0.00000000,0.10596632,0.00000000,0.66517645,0.00000000
ROT SPY top1 12M can TIP/1 fb IEF,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,IEF,0.00168038,0.00887397,0.00169320,0.00887535,135577.68948225,75500.00000000,60077.68948225,0.79573099,0.09572039,0.09066633,0.72682065,0.13934524,0.99763420,0.28390958,-0.33715097,323,2021,0.28441031,2022,-0.17890843,2408261.20779964,204.25044274,1.58917161,0.00270530,,,0.33297930,0.00000000,0.66532750,0.00000000
ROT SPY top1 12M fb best(BIL+IEF),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,,best(BIL+IEF),0.00195373,0.00887397,0.00196215,0.00887535,125117.60332476,75500.00000000,49617.60332476,0.65718680,0.08883049,0.07854041,0.64000707,0.15103758,0.87398776,0.26361128,-0.33697528,323,2013,0.31842278,2022,-0.11997914,1407497.82616913,120.86548351,1.01339432,0.00160087,0.06815465,0.00000000,0.04541763,0.00000000,0.88446557,0.00000000
