label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.60000000,,0.00071470,0.00238371,0.00055796,0.00177119,87580.15262459,44000.00000000,43580.15262459,0.99045801,0.18391546,0.19901496,0.81948860,0.24326228,1.16089552,0.53253077,-0.34536120,533,2023,0.64721411,2022,-0.30451766,497079.93999087,187.35890384,1.04639632,0.00425816,0.50485658,0.39894675,,,,,,,0.49439595,0.20791433
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.60000000,QQQ<SMA200,0.03119103,0.34471229,0.03105018,0.34471871,86957.80427658,44000.00000000,42957.80427658,0.97631373,0.18539155,0.19691845,0.85213226,0.23238415,1.20383240,0.69479747,-0.26682819,533,2023,0.44584032,2022,-0.20079622,455597.94738391,173.35908427,0.95992438,0.00393998,0.53541924,0.39894675,,,,,,,0.46388221,0.06519813
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.70000000,,0.00078439,0.00231721,0.00057673,0.00149519,90912.83687596,44000.00000000,46912.83687596,1.06620084,0.19374842,0.21001132,0.80215726,0.26627898,1.12627852,0.54979805,-0.35239926,601,2023,0.65367153,2022,-0.30689063,679358.50431432,254.60819254,1.41290222,0.00578655,0.46932965,0.29874063,,,,,,,0.52984279,0.20775240
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.70000000,QQQ<SMA200,0.03109656,0.34453043,0.03097085,0.34453680,90283.61556984,44000.00000000,46283.61556984,1.05190035,0.19525705,0.20796418,0.82798096,0.25639440,1.15920306,0.71046366,-0.27483045,573,2023,0.45170041,2022,-0.20372600,636765.46010180,240.29038073,1.32534844,0.00546115,0.49992715,0.29874063,,,,,,,0.49942237,0.06538004
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.80000000,,0.00068839,0.00211401,0.00051580,0.00166544,94695.72148152,44000.00000000,50695.72148152,1.15217549,0.20348063,0.22204871,0.79791477,0.28418545,1.11451164,0.56629406,-0.35931974,605,2023,0.69044111,2022,-0.30722028,873093.87935324,326.68263251,1.78884170,0.00742461,0.44174685,0.19908965,,,,,,,0.55751109,0.20754223
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.80000000,QQQ<SMA200,0.03102818,0.34420173,0.03090872,0.34420810,94044.97520327,44000.00000000,50044.97520327,1.13738580,0.20497212,0.22001008,0.82004867,0.27486175,1.14221064,0.72425693,-0.28301023,601,2023,0.48442741,2022,-0.20465061,829006.63022879,311.75238742,1.70026702,0.00708528,0.47223092,0.19908965,,,,,,,0.52705946,0.06570874
VT TQQQ/BTAL t35 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.50000000,,0.00074048,0.00245530,0.00055729,0.00157287,82360.66973335,44000.00000000,38360.66973335,0.87183340,0.16784412,0.18098385,0.78615877,0.23288172,1.12688119,0.45655236,-0.36763390,535,2023,0.68792648,2022,-0.32708763,285168.38972968,108.29388251,0.61681534,0.00246122,0.53305480,0.49858973,,,,,,,0.46618219,0.24219825
VT TQQQ/BTAL t35 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.50000000,QQQ<SMA200,0.03545610,0.39901726,0.03530715,0.39902380,82224.81325841,44000.00000000,38224.81325841,0.86874576,0.17168061,0.18050041,0.85827860,0.21167597,1.22934318,0.64260041,-0.26716542,534,2023,0.45476794,2022,-0.20530881,240509.80953811,93.19799916,0.51803987,0.00211814,0.56788883,0.49858973,,,,,,,0.43139695,0.07921251
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.60000000,,0.00067536,0.00274210,0.00051164,0.00177119,94611.92911608,44000.00000000,50611.92911608,1.15027112,0.20535522,0.22178694,0.83616532,0.26731330,1.19412334,0.52552276,-0.39076370,535,2023,0.80160339,2022,-0.35057641,407392.90853561,153.87683630,0.81287314,0.00349720,0.46992317,0.39895750,,,,,,,0.52937377,0.24259663
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.60000000,QQQ<SMA200,0.03534617,0.39856211,0.03519750,0.39856861,94468.21385756,44000.00000000,50468.21385756,1.14700486,0.20931183,0.22133746,0.89183871,0.24904381,1.27230534,0.69631951,-0.30059739,534,2023,0.55318253,2022,-0.23343975,360548.18834194,137.90805424,0.71660418,0.00313427,0.50462695,0.39895750,,,,,,,0.49464802,0.07966771
