label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.20000000,0.00566549,0.06138640,0.00478943,0.06138712,37339.74645962,25500.00000000,11839.74645962,0.46430378,0.21635076,0.22099165,0.91638489,0.24905531,1.26000664,1.02266036,-0.21155680,224,2025,0.26678285,2026,0.10857869,225898.27987240,22.44836002,1.92465840,0.00088033,0.56820731,0.19784207,,,,,,,0.42842011,0.19857428
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.25000000,0.00523744,0.07129433,0.00453204,0.07129504,39691.46703055,25500.00000000,14191.46703055,0.55652812,0.25747030,0.25904893,0.92276985,0.29831624,1.27238636,0.98612161,-0.26109387,235,2025,0.29556759,2026,0.12626571,243982.14744429,24.36444492,1.98829258,0.00095547,0.47756166,0.19431568,,,,,,,0.51985226,0.25406251
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.20000000,0.00624525,0.06556656,0.00507918,0.06556745,34473.86265876,25500.00000000,8973.86265876,0.35191618,0.17804592,0.17239321,0.86728214,0.21751931,1.17971786,1.03055912,-0.17276634,398,2025,0.20754748,2026,0.06053856,218836.34927427,51.89069073,1.92351975,0.00203493,0.28292248,0.09623809,0.28483228,0.09949324,,,,,0.42842950,0.19717583
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.25000000,0.00660960,0.07672050,0.00543879,0.07672181,37244.66640866,25500.00000000,11744.66640866,0.46057515,0.22601796,0.21941992,0.89830913,0.26868531,1.22798154,0.99186855,-0.22787088,398,2024,0.26240022,2026,0.08852463,236553.47349492,56.00452796,1.97851181,0.00219626,0.23723191,0.09669427,0.23925746,0.09962794,,,,,0.51964358,0.25192692
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.00449807,0.06819676,0.00375507,0.06820190,33609.95874024,25500.00000000,8109.95874024,0.31803760,0.16707570,0.15721691,0.83680148,0.21303946,1.13443546,0.91868785,-0.18186341,447,2024,0.20960873,2026,0.04959936,216484.57615637,72.04682679,1.92268262,0.00282537,,,0.42765935,0.14948330,0.14208554,0.04919289,,,0.42848494,0.19602462
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.00507415,0.07960515,0.00427229,0.07960980,36439.93208907,25500.00000000,10939.93208907,0.42901694,0.21591232,0.20600906,0.88236844,0.26213099,1.20153801,0.92600436,-0.23316555,435,2024,0.26599322,2026,0.07925212,234731.93744931,77.62793769,1.98333493,0.00304423,,,0.35926575,0.14909286,0.11919241,0.04910579,,,0.51944409,0.25077104
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.00610742,0.06470621,0.00464502,0.06470896,35749.10913704,25500.00000000,10249.10913704,0.40192585,0.19647927,0.19433835,0.90045015,0.22997311,1.22846531,0.96531571,-0.20353887,398,2025,0.22886499,2026,0.08694068,221761.55276769,50.52129021,1.92457399,0.00198123,0.21204746,0.07305731,0.21363070,0.07472979,0.14205329,0.04981128,,,0.42852958,0.19742176
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.00684496,0.07536920,0.00508745,0.07537192,38289.08235786,25500.00000000,12789.08235786,0.50153264,0.24043558,0.23654082,0.91472833,0.28020254,1.25308232,0.95180548,-0.25260999,398,2025,0.26377186,2026,0.10834874,239417.33413217,54.51800113,1.98293509,0.00213796,0.17764279,0.07023286,0.17939786,0.07416231,0.11917524,0.04928129,,,0.51958607,0.25254041
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.20000000,0.00604897,0.06112796,0.00467671,0.06112959,37932.45637937,25500.00000000,12432.45637937,0.48754731,0.22512267,0.23073000,0.92865214,0.25525119,1.27599133,0.99838796,-0.22548616,394,2025,0.27376526,2026,0.12275704,227549.85084016,28.37182624,1.92895346,0.00111262,0.42578951,0.14656727,,,0.14188871,0.04941364,,,0.42857285,0.19888285
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.25000000,0.00610300,0.07074883,0.00483349,0.07075044,40117.03508663,25500.00000000,14617.03508663,0.57321706,0.26351852,0.26577475,0.92812105,0.30349619,1.27897895,0.96844122,-0.27210585,394,2025,0.30018861,2026,0.13626854,244313.49714951,30.59423734,1.98498004,0.00119977,0.35720231,0.14698094,,,0.11922640,0.04918761,,,0.51992074,0.25466083
TQQQ50/BTAL50 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00898509,0.10685250,0.00870039,0.10685991,34357.75027685,25500.00000000,8857.75027685,0.34736276,0.19486854,0.17036834,0.92237379,0.22060294,1.30309555,0.78717882,-0.24755307,288,2024,0.38185099,2025,0.05194469,56087.98041316,21.85507793,0.47729761,0.00085706,,,0.50740905,0.49903107,,,,,0.49135723,0.39314009
SPY benchmark,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.01496400,0.03278446,0.01496591,0.03278600,36178.73062717,25500.00000000,10678.73062717,0.41877375,0.20671575,0.20161381,1.29515663,0.15519606,1.93260825,1.11662343,-0.18512575,127,2024,0.24737230,2026,0.12210687,25224.78616047,1.76573503,0.21641169,0.00006924,,,,,,,0.98503409,0.96721400,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.00526575,0.09119303,0.00515992,0.09119719,37587.49196664,28000.00000000,9587.49196664,0.34241043,0.17693023,0.15146052,0.79290844,0.24242901,1.09436918,0.68006944,-0.26016495,366,2019,0.27444148,2022,-0.09071019,232187.98052280,87.84280639,1.57129444,0.00313724,,,0.60494821,0.19907534,,,,,0.39429038,0.09606673
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.00623693,0.11333438,0.00609037,0.11333808,40017.87447442,28000.00000000,12017.87447442,0.42920980,0.21442724,0.18521099,0.82374692,0.28527509,1.12604539,0.83288130,-0.25745233,324,2019,0.30957056,2022,-0.14265062,277159.56232976,104.39716397,1.74597419,0.00372847,,,0.52076607,0.19909169,,,,,0.47844711,0.12208800
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.20000000,0.00668723,0.09384370,0.00640537,0.09384399,39079.52320136,28000.00000000,11079.52320136,0.39569726,0.19984276,0.17236327,0.87381887,0.24194739,1.17400456,0.89922292,-0.22223940,169,2021,0.30231309,2022,-0.17654945,256840.40138319,25.48364666,1.59738365,0.00091013,0.60353908,0.19726076,,,,,,,0.39424067,0.09927912
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.25000000,0.00727159,0.11581295,0.00704613,0.11581322,41386.13596452,28000.00000000,13386.13596452,0.47807628,0.23389644,0.20355551,0.86622323,0.29196719,1.16005196,0.86360020,-0.27083880,169,2021,0.38429994,2022,-0.21842969,304930.85489493,30.38520695,1.77642401,0.00108519,0.51956440,0.19894706,,,,,,,0.47857376,0.12403625
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.20000000,0.00716662,0.09287266,0.00644994,0.09287334,38487.56301003,28000.00000000,10487.56301003,0.37455582,0.19098654,0.16414148,0.86403782,0.23383057,1.17791768,0.98428627,-0.19403556,141,2021,0.26190269,2022,-0.13361565,245787.63518379,57.99070507,1.59206816,0.00207110,0.30078693,0.09545737,0.30223996,0.09979470,,,,,0.39424167,0.09915828
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.25000000,0.00775311,0.11487445,0.00715260,0.11487508,40834.40553761,28000.00000000,12834.40553761,0.45837163,0.22621490,0.19621251,0.86217284,0.28305246,1.16572850,0.92063304,-0.24571668,141,2021,0.34412781,2022,-0.18052734,292435.97171930,69.00204479,1.76964483,0.00246436,0.25890391,0.09707141,0.26017850,0.09909613,,,,,0.47855666,0.12401322
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.00595137,0.09554470,0.00546653,0.09554987,40865.47858697,28000.00000000,12865.47858697,0.45948138,0.21688680,0.19662798,0.93188639,0.24195431,1.28153647,1.07833624,-0.20113095,324,2019,0.27963594,2022,-0.06626366,243400.47768126,81.01983135,1.58166081,0.00289357,,,0.45386924,0.14955055,0.15090949,0.04900583,,,0.39397178,0.09735839
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.00687002,0.11848708,0.00642698,0.11849197,43281.77331837,28000.00000000,15281.77331837,0.54577762,0.25192343,0.22825270,0.92488892,0.28771469,1.25987378,1.04827110,-0.24032278,141,2021,0.34675605,2022,-0.11962338,289587.14186296,96.11240084,1.75791286,0.00343259,,,0.39072776,0.14894300,0.12993660,0.04921932,,,0.47820518,0.12427030
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.00779984,0.09658495,0.00674775,0.09658754,41525.79759995,28000.00000000,13525.79759995,0.48306420,0.22634328,0.20540292,0.96870244,0.24036367,1.31802927,1.07696617,-0.21016749,163,2021,0.29627379,2022,-0.09946656,253772.72862763,57.67359681,1.59674711,0.00205977,0.22517722,0.07230055,0.22671447,0.07411958,0.15099073,0.04932344,,,0.39393788,0.09931137
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.00831557,0.11943691,0.00729462,0.11943931,43873.34332572,28000.00000000,15873.34332572,0.56690512,0.25987326,0.23579834,0.94358476,0.28920943,1.27502544,1.00345741,-0.25897787,166,2021,0.37770834,2022,-0.14919146,301603.33800684,68.45889468,1.77714998,0.00244496,0.19413516,0.07246619,0.19510565,0.07399820,0.12988933,0.04902034,,,0.47822890,0.12406008
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.20000000,0.00677040,0.09724804,0.00619987,0.09724945,42002.13776510,28000.00000000,14002.13776510,0.50007635,0.23296726,0.21166991,0.96857640,0.24789036,1.30501517,0.99975669,-0.23302395,169,2021,0.32659036,2022,-0.13302776,262993.73177230,32.77298849,1.60460455,0.00117046,0.45284016,0.14557979,,,0.15106016,0.04965727,,,0.39401627,0.09938877
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.25000000,0.00835720,0.12008064,0.00771170,0.12008195,44313.38384722,28000.00000000,16313.38384722,0.58262085,0.26552372,0.24136333,0.94226461,0.29676784,1.26490651,0.94948802,-0.27964936,169,2021,0.40800885,2022,-0.17845582,311752.72969811,38.90727371,1.78557895,0.00138955,0.38920802,0.14577158,,,0.12992544,0.04928741,,,0.47822438,0.12417762
TQQQ50/BTAL50 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.01983385,0.23326313,0.01965422,0.23326679,40722.18875991,28000.00000000,12722.18875991,0.45436388,0.22769045,0.19471015,0.78218058,0.33382800,1.07450549,0.60370398,-0.37715580,138,2020,0.43602079,2022,-0.21954028,71431.49328394,28.42607192,0.42175119,0.00101522,,,0.51871769,0.49887832,,,,,0.48052169,0.26673321
SPY benchmark,sens,sens_2019-05-08,2019-05-08,2022-05-06,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00745957,0.02233304,0.00746133,0.02233388,36230.36517888,28000.00000000,8230.36517888,0.29394161,0.14156505,0.13191091,0.69417514,0.22823110,0.95113431,0.42047588,-0.33667817,173,2021,0.28241522,2022,-0.13085030,27811.66193986,1.94681634,0.19293450,0.00006953,,,,,,,0.99253867,0.97766612,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.02771967,0.17330106,0.02759002,0.17330578,34156.29331333,28000.00000000,6156.29331333,0.21986762,0.13038939,0.10058059,0.63409617,0.23878057,0.87768711,0.50120698,-0.26015080,366,2021,0.22009783,2022,-0.08706396,173833.26717153,65.34526181,1.25483905,0.00233376,,,0.65777811,0.19848010,,,,,0.34134063,0.05408811
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.03357202,0.21359296,0.03343714,0.21359739,35095.42615802,28000.00000000,7095.42615802,0.25340808,0.15309578,0.11470876,0.66152713,0.27198660,0.90540869,0.59484965,-0.25736886,324,2021,0.30258419,2022,-0.15130546,204669.05510368,76.85205389,1.39728202,0.00274472,,,0.59161219,0.19873266,,,,,0.40760100,0.07064497
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.20000000,0.02750302,0.16879106,0.02722412,0.16879141,34065.42827301,28000.00000000,6065.42827301,0.21662244,0.14806038,0.09919844,0.72696328,0.22544569,0.97697450,0.60220959,-0.24586188,,2021,0.30220568,2022,-0.21000382,196263.04581923,19.56321344,1.28811225,0.00069869,0.65552155,0.19633927,,,,,,,0.34249659,0.05860247
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.25000000,0.03319486,0.20765639,0.03294264,0.20765679,34771.61084863,28000.00000000,6771.61084863,0.24184324,0.16412490,0.10986927,0.69982687,0.27010230,0.93551120,0.54334610,-0.30206328,,2021,0.38388267,2022,-0.26081018,228624.25011822,22.83147895,1.43365209,0.00081541,0.58892537,0.19391883,,,,,,,0.40906580,0.07658556
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.20000000,0.02881651,0.17112952,0.02823247,0.17113037,34273.44238791,28000.00000000,6273.44238791,0.22405151,0.14221625,0.10235853,0.71621960,0.21991339,0.97842277,0.73310532,-0.19399157,141,2021,0.26207656,2022,-0.14837231,186761.74625679,43.86688458,1.28290388,0.00156667,0.32677984,0.09424285,0.32846701,0.09957792,,,,,0.34196485,0.05626352
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.25000000,0.03448941,0.21073595,0.03389222,0.21073663,35071.73827519,28000.00000000,7071.73827519,0.25256208,0.16106517,0.11435586,0.70295325,0.26200664,0.95040651,0.63952215,-0.25185237,,2021,0.34395508,2022,-0.20602599,218551.02386870,51.48746345,1.42774612,0.00183884,0.29367495,0.09334584,0.29527744,0.09878758,,,,,0.40835527,0.07350573
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.02851041,0.17530322,0.02805367,0.17530807,36702.60615680,28000.00000000,8702.60615680,0.31080736,0.16765223,0.13825216,0.78287199,0.23326080,1.07899174,0.83407144,-0.20100464,323,2021,0.26532056,2022,-0.06269847,182676.73170737,60.54972733,1.25335746,0.00216249,,,0.49370351,0.14835078,0.16428926,0.04939081,,,0.34080616,0.05208582
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.03446912,0.21594216,0.03401524,0.21594704,37563.09245394,28000.00000000,9563.09245394,0.34153902,0.18790213,0.15054636,0.77402055,0.27044880,1.05492872,0.78246227,-0.24014210,141,2021,0.34702135,2022,-0.12905745,214379.59348617,71.04940479,1.39631082,0.00253748,,,0.44401553,0.14835078,0.14771450,0.04923778,,,0.40707261,0.06829532
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-11-08,2019-11-08,2022-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.02948728,0.17373328,0.02863765,0.17373523,36725.87678257,28000.00000000,8725.87678257,0.31163846,0.17515266,0.13858741,0.83073562,0.22538319,1.13206372,0.83423331,-0.20995644,163,2021,0.29637619,2022,-0.11106478,192216.53036558,43.50178206,1.27212062,0.00155364,0.24508925,0.07008991,0.24650175,0.07315929,0.16424211,0.04939081,,,0.34128117,0.05365866
