label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.20000000,0.01683805,0.22298554,0.01644469,0.22298626,140595.31529126,53500.00000000,87095.31529126,1.62794982,0.22352006,0.21992364,0.97879127,0.23526710,1.34547216,0.95921497,-0.23302395,169,2023,0.45522171,2022,-0.17691049,1443294.48795153,180.59403720,1.67681904,0.00337559,0.46349840,0.14557979,,,0.15455670,0.04965727,,,0.38051441,0.05029164
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.25000000,0.02042496,0.27570468,0.02001657,0.27570538,162980.23165005,53500.00000000,109480.23165005,2.04635947,0.25779485,0.25371807,0.96016100,0.28119427,1.31873621,0.89371907,-0.28845178,605,2023,0.54639451,2022,-0.23183369,1689265.57337015,211.33739524,1.76977350,0.00395023,0.40241680,0.14577158,,,0.13423182,0.04928741,,,0.46171079,0.06589199
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.03981861,0.37517449,0.03971294,0.37517809,127937.31122425,53500.00000000,74437.31122425,1.39135161,0.21034361,0.19843046,0.85135612,0.26722001,1.19206963,0.55771013,-0.37715580,138,2023,0.48047197,2022,-0.27720877,350542.40872622,134.58055126,0.40482767,0.00251552,,,0.53913174,0.49887832,,,,,0.46037519,0.12482191
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00569036,0.02233304,0.00569127,0.02233388,109466.10856795,53500.00000000,55966.10856795,1.04609549,0.15680104,0.16301342,0.84672044,0.19515292,1.19715720,0.46572974,-0.33667817,173,2021,0.28241522,2022,-0.18161772,53254.76437652,3.72783351,0.07535223,0.00006968,,,,,,,0.99430873,0.97766612,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.02414453,0.22713285,0.02406227,0.22713641,62522.87942710,37500.00000000,25022.87942710,0.66727678,0.18316554,0.17724988,0.88791714,0.21585360,1.24134298,0.70403618,-0.26016495,366,2023,0.33043318,2022,-0.08383174,352025.25726454,133.57613560,1.18806782,0.00356203,,,0.65142062,0.19907534,,,,,0.34797352,0.04614148
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.02946919,0.28113230,0.02935674,0.28113572,68773.31674333,37500.00000000,31273.31674333,0.83395511,0.21931824,0.21134304,0.91296157,0.25238770,1.26739134,0.85187902,-0.25745233,324,2023,0.41483656,2022,-0.14961246,419037.09221486,158.38218628,1.31874771,0.00422352,,,0.57643481,0.19909169,,,,,0.42294975,0.06046164
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.20000000,0.02434323,0.22128142,0.02412888,0.22128171,68204.99655228,37500.00000000,30704.99655228,0.81879991,0.21279566,0.20835852,1.00140628,0.21621615,1.37529243,0.85720831,-0.24824265,605,2023,0.48122498,2022,-0.21099152,389544.95740081,38.58656782,1.22851781,0.00102898,0.64936488,0.19726076,,,,,,,0.34882099,0.05199619
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.25000000,0.02910843,0.27340618,0.02892697,0.27340646,74524.15405504,37500.00000000,37024.15405504,0.98731077,0.24628976,0.24038503,0.97370707,0.26163278,1.33251729,0.80380930,-0.30640322,752,2023,0.57101201,2022,-0.26313716,461004.13520530,45.82525601,1.36350750,0.00122201,0.57429177,0.19894706,,,,,,,0.42418863,0.06819090
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.20000000,0.02518668,0.22449933,0.02465536,0.22450007,65731.67200301,37500.00000000,28231.67200301,0.75284459,0.20055794,0.19510965,0.99455776,0.20511634,1.38218252,1.03361437,-0.19403556,141,2023,0.40622711,2022,-0.14708557,374968.56811180,87.58854172,1.21893169,0.00233569,0.32410489,0.09545737,0.32532635,0.09979470,,,,,0.34833569,0.04877782
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.25000000,0.03013174,0.27761124,0.02967040,0.27761209,71995.98517813,37500.00000000,34495.98517813,0.91989294,0.23496571,0.22786841,0.97243427,0.24929167,1.34121429,0.90201192,-0.26049069,602,2023,0.49302791,2022,-0.20607218,444137.40531623,103.96368782,1.35100405,0.00277237,0.28673183,0.09707141,0.28777311,0.09909613,,,,,0.42354823,0.06398527
