label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ:MOMM1-3-6-12U<=0 off0,0.00078865,0.00318310,0.00047389,0.00156079,104378.69709113,53500.00000000,50878.69709113,0.95100368,0.15053653,0.15222122,0.75022184,0.21996241,1.03293245,0.74891043,-0.20100739,324,2021,0.26528507,2022,-0.07811695,1289074.22002917,426.77947147,1.82075103,0.00797719,0.48190364,0.14970868,0.16039596,0.04913742,,,0.35686116,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.02303399,0.29626223,0.02275304,0.29626553,110639.34066428,53500.00000000,57139.34066428,1.06802506,0.17510225,0.16543186,0.86444445,0.21391058,1.19020395,0.87057081,-0.20113499,324,2019,0.26608073,2022,-0.07936605,1245198.21316114,413.05635770,1.63684750,0.00772068,0.46928188,0.14942904,0.15617696,0.04935799,,,0.37371369,0.04597594
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.01791633,0.22732631,0.01762629,0.22732793,115008.15925767,53500.00000000,61508.15925767,1.14968522,0.18436460,0.17422048,0.89935403,0.21451323,1.24042241,0.91663960,-0.20113095,324,2023,0.31164346,2022,-0.07938807,1285139.41519697,425.56729849,1.63616778,0.00795453,0.46541724,0.14955055,0.15487570,0.04900583,,,0.37886942,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00626196,0.26745696,0.00595843,0.26746294,105982.87368584,53500.00000000,52482.87368584,0.98098829,0.15872885,0.15567942,0.78168188,0.22032101,1.07742677,0.78966676,-0.20100739,324,2021,0.26528507,2022,0.03978140,1327328.67676581,439.95598320,1.78013327,0.00822348,0.48604335,0.14970868,0.16177136,0.04913742,,,0.35137137,0.00000000
50/50,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00046940,0.00155282,0.00035265,0.00133151,130138.75383561,53500.00000000,76638.75383561,1.43250007,0.21362786,0.20231294,0.79436242,0.30242781,1.11941745,0.47701436,-0.44784367,752,2023,0.69974912,2022,-0.42546175,431091.23495872,162.81458213,0.50283865,0.00304326,0.49975844,0.49866849,,,,,0.49975382,0.49922644
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.03981861,0.37517449,0.03971294,0.37517809,127937.31122425,53500.00000000,74437.31122425,1.39135161,0.21034361,0.19843046,0.85135612,0.26722001,1.19206963,0.55771013,-0.37715580,138,2023,0.48047197,2022,-0.27720877,350542.40872622,134.58055126,0.40482767,0.00251552,0.53913174,0.49887832,,,,,0.46037519,0.12482191
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00569036,0.02233304,0.00569127,0.02233388,109466.10856795,53500.00000000,55966.10856795,1.04609549,0.15680104,0.16301342,0.84672044,0.19515292,1.19715720,0.46572974,-0.33667817,173,2021,0.28241522,2022,-0.18161772,53254.76437652,3.72783351,0.07535223,0.00006968,,,,,0.99430873,0.97766612,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,,0.00066570,0.00187523,0.00052750,0.00164884,63324.40477073,37500.00000000,25824.40477073,0.68865079,0.18557579,0.18178566,0.90441835,0.21363576,1.26767714,0.71378631,-0.25998788,366,2023,0.45338507,2022,-0.15469441,386945.33537192,145.29627902,1.31126635,0.00387457,0.62775468,0.19907534,,,,,0.37153538,0.09931822
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200,0.02414453,0.22713285,0.02406227,0.22713641,62522.87942710,37500.00000000,25022.87942710,0.66727678,0.18316554,0.17724988,0.88791714,0.21585360,1.24134298,0.70403618,-0.26016495,366,2023,0.33043318,2022,-0.08383174,352025.25726454,133.57613560,1.18806782,0.00356203,0.65142062,0.19907534,,,,,0.34797352,0.04614148
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ:MOMM1-3-6-12U<=0,0.02838304,0.27844258,0.02827733,0.27844646,56566.95789696,37500.00000000,19066.95789696,0.50845221,0.15204229,0.14182990,0.76848851,0.21423202,1.06898642,0.58443989,-0.26015044,366,2023,0.26155885,2022,-0.13634325,340247.06393193,129.38121340,1.19963904,0.00345017,0.65561177,0.19970055,,,,,0.34372484,0.05943891
